from_txn_id,to_txn_id,time_delta_hours,amount_ratio,channel_change
3000098,3000106,0.0839,1.0201,False
3000099,3000261,2.5742,2.3109,False
3000100,3000116,0.1511,1.9326,False
3000101,3000103,0.0092,1.0002,False
3000102,3000133,0.2664,1.9637,True
3000103,3000107,0.0208,0.9998,False
3000104,3065657,407.0114,0.05,True
3000105,3001979,22.2558,5.402,True
3000106,3000129,0.1961,0.9803,False
3000107,3000171,0.8322,0.3998,False
3000108,3000729,13.6281,0.6281,False
3000109,3001296,17.5939,2.8039,False
3000110,3000260,2.3872,2.9539,False
3000111,3000118,0.0556,2.707,False
3000112,3003971,39.9706,0.8894,False
3000113,3000114,0.0011,2.2234,False
3000114,3000123,0.0647,0.1565,False
3000115,3000783,13.9897,0.7116,False
3000116,3000165,0.5875,0.4772,False
3000117,3000976,15.4589,6.1468,False
3000118,3000278,2.7881,0.8317,False
3000119,3012529,94.3731,1.8006,False
3000120,3000768,13.8053,0.7331,False
3000121,3008841,68.8506,1.1668,False
3000122,3003591,38.3164,0.8512,False
3000123,3000127,0.0417,9.2632,False
3000124,3000157,0.38,0.9999,False
3000125,3000159,0.4483,44.2757,False
3000126,3000161,0.4753,14.0381,False
3000127,3000164,0.4906,0.2082,False
3000128,3010825,87.0058,2.0008,False
3000129,3000229,1.4736,0.1215,True
3000130,3000854,14.4339,0.6903,False
3000131,3000163,0.4511,1.0038,False
3000132,3001073,15.9397,1.3536,True
3000133,3000269,2.4003,1.0002,False
3000134,3000953,15.08,0.2171,True
3000135,3000226,1.3489,1.2021,False
3000136,3001959,21.8194,0.6866,True
3000137,3012135,92.5906,1.7098,False
3000138,3002645,25.3083,0.3658,False
3000139,3000645,12.4214,0.3995,False
3000140,3001135,16.2908,2.7436,False
3000141,3000309,3.4917,0.9166,False
3000142,3000156,0.1578,0.2384,True
3000143,3002905,28.0158,1.1611,False
3000144,3001286,17.1656,0.8009,True
3000145,3000160,0.2381,1.1332,False
3000146,3003560,37.9186,0.2312,False
3000147,3002085,22.4769,2.3003,True
3000148,3000404,5.7203,1.2179,False
3000149,3000187,0.6228,2.3298,False
3000150,3002210,22.9792,1.4995,False
3000151,3002089,22.4472,1.9162,False
3000152,3000158,0.0528,1.004,False
3000153,3000316,3.5178,0.538,True
3000154,3000776,13.4953,11.9756,False
3000155,3000925,14.6136,8.5445,True
3000156,3000179,0.4244,2.5015,False
3000157,3000233,1.1997,4.1253,False
3000158,3000301,3.0106,3.5849,True
3000159,3000631,11.9978,0.1893,False
3000160,3001375,17.485,1.3855,False
3000161,3001558,18.7711,0.2284,False
3000162,3000177,0.2136,1.714,False
3000163,3000759,13.1931,1.4688,False
3000164,3000172,0.1547,1.2226,False
3000165,3000166,0.0006,3.1973,False
3000166,3000173,0.1653,0.6115,False
3000167,3001684,19.4925,1.5984,False
3000168,3005462,44.8289,1.2994,True
3000169,3001022,15.07,3.4238,False
3000170,3005703,45.7028,3.5872,False
3000171,3000705,12.5456,0.9986,False
3000172,3000190,0.3453,1.6881,False
3000173,3000203,0.55,0.2324,False
3000174,3000901,14.0906,2.003,False
3000175,3001231,16.3461,0.2006,True
3000176,3035940,240.0694,2.542,True
3000177,3000188,0.2683,0.8339,False
3000178,3000186,0.1369,0.9986,False
3000179,3000182,0.0611,1.4984,False
3000180,3000185,0.0706,1.001,False
3000181,3005659,45.3603,0.2999,True
3000182,3000239,0.8019,0.6674,False
3000183,3000238,0.78,2.5055,False
3000184,3000192,0.1847,0.9993,False
3000185,3000201,0.3036,1.0,False
3000186,3002280,22.6431,1.551,False
3000187,3001147,15.6094,0.7303,False
3000188,3000228,0.5225,0.5005,True
3000189,3000761,12.7203,3.141,False
3000190,3000197,0.1214,0.4731,False
3000191,3000209,0.2639,1.867,False
3000192,3000195,0.0636,1.0005,False
3000193,3007342,61.6322,0.3678,False
3000194,3000874,13.5206,0.3896,False
3000195,3000247,0.7928,0.6522,False
3000196,3001540,18.0444,5.1179,False
3000197,3000204,0.0989,0.4775,False
3000198,3000811,12.9725,0.4308,False
3000199,3000323,2.995,0.5824,False
3000200,3001455,17.28,1.0686,False
3000201,3008947,68.0542,0.6837,False
3000202,3037493,254.8836,3.7453,False
3000203,3000211,0.0853,2.122,False
3000204,3000217,0.1558,3.8865,False
3000205,3002594,23.9,1.1787,True
3000206,3000214,0.0894,8.1131,False
3000207,3001215,15.7267,4.0166,False
3000208,3000213,0.0644,0.2118,False
3000209,3000222,0.1544,0.3145,False
3000210,3002404,22.8256,1.3225,False
3000211,3000218,0.0786,0.4703,False
3000212,3006433,48.6142,1.1707,True
3000213,3000585,10.7122,2.4454,False
3000214,3000835,12.9792,0.0708,False
3000215,3001994,20.8236,0.23,False
3000216,3002021,21.0114,1.3924,False
3000217,3000232,0.1831,0.2848,False
3000218,3000221,0.0364,1.0233,False
3000219,3000257,0.7458,0.9607,False
3000220,3000503,8.9475,4.6985,True
3000221,3000231,0.1264,0.9768,False
3000222,3000794,12.55,10.2951,False
3000223,3000676,11.4747,1.7754,False
3000224,3001440,16.8708,3.0784,False
3000225,3000741,12.135,0.1666,False
3000226,3000256,0.6739,4.1608,False
3000227,3000312,2.2531,4.7039,False
3000228,3000236,0.1061,0.435,True
3000229,3000293,1.5778,0.5006,False
3000230,3002488,23.0986,1.0018,True
3000231,3000255,0.5675,0.9808,False
3000232,3000242,0.1783,1.7874,False
3000233,3000286,1.2564,0.1327,False
3000234,3006331,47.5875,1.0698,False
3000235,3000253,0.4714,0.9982,False
3000236,3000605,10.6314,4.0414,False
3000237,3002019,20.7331,2.1367,False
3000238,3000295,1.5903,0.2999,False
3000239,3000691,11.3942,1.9964,False
3000240,3002447,22.6889,0.2,False
3000241,3000830,12.5608,7.8022,False
3000242,3000274,0.8806,0.8582,False
3000243,3001037,13.9861,2.8832,False
3000244,3005013,41.8981,7.4136,False
3000245,3001978,20.1886,1.3452,True
3000246,3006368,47.5142,1.0939,True
3000247,3000250,0.0306,0.9989,False
3000248,3001260,15.3217,1.4743,False
3000249,3001362,15.975,0.9229,False
3000250,3000766,11.8317,1.4799,False
3000251,3000672,10.9192,0.6589,False
3000252,3001627,17.6219,0.508,False
3000253,3002656,23.5228,1.2835,True
3000254,3000276,0.5981,0.8299,False
3000255,3000258,0.0619,0.9272,False
3000256,3000391,3.5258,0.2002,False
3000257,3009713,70.7525,0.3191,False
3000258,3000288,0.6719,2.0697,False
3000259,3006534,48.4833,0.4763,False
3000260,3000377,3.1469,1.9822,False
3000261,3000273,0.2803,1.1394,False
3000262,3000335,2.215,1.5937,False
3000263,3000604,9.7925,0.3588,False
3000264,3012834,93.0767,0.2398,True
3000265,3000747,11.2075,18.0633,True
3000266,3000330,2.0031,0.6918,False
3000267,3002301,21.1917,1.1696,True
3000268,3001981,19.6133,2.5191,False
3000269,3000422,3.9183,1.491,False
3000270,3000283,0.3297,0.8293,False
3000271,3001028,13.2231,0.8604,False
3000272,3038571,257.2311,3.9944,False
3000273,3000625,9.7853,0.7307,False
3000274,3000280,0.1478,0.9984,False
3000275,3000886,12.0203,1.2508,False
3000276,3000332,1.8511,2.3878,False
3000277,3053359,345.9072,3.3099,False
3000278,3002416,21.5106,0.5468,False
3000279,3003705,36.0817,0.4612,False
3000280,3000305,0.725,1.0169,False
3000281,3017891,131.1325,1.8673,False
3000282,3283183,1917.0592,0.5227,False
3000283,3005326,42.13,2.967,False
3000284,3001808,18.1594,1.4987,True
3000285,3000689,10.2008,0.113,False
3000286,3000445,4.2361,3.5714,False
3000287,3012842,92.6878,2.4974,False
3000288,3000289,0.0192,0.8569,False
3000289,3000331,1.6358,0.6193,False
3000290,3000355,2.11,1.0001,False
3000291,3000922,11.9753,0.6367,False
3000292,3000324,1.1347,1.532,False
3000293,3000626,9.3244,1.1289,True
3000294,3035059,234.255,0.7316,False
3000295,3000298,0.0786,0.8633,False
3000296,3001900,18.3339,0.5392,True
3000297,3000386,2.34,0.9996,False
3000298,3000300,0.0986,1.4077,False
3000299,3463572,3305.3197,3.9771,True
3000300,3000307,0.2028,1.6465,False
3000301,3000613,8.8917,0.2326,True
3000302,3000853,11.0564,0.624,False
3000303,3008002,61.9828,0.2267,True
3000304,3000858,10.9997,0.4629,False
3000305,3000314,0.2644,1.0714,False
3000306,3000893,11.1475,0.7978,False
3000307,3000311,0.1094,1.4481,False
3000308,3025183,177.2683,0.2597,False
3000309,3000982,11.7558,1.0809,False
3000310,3019130,135.0722,0.2804,False
3000311,3000327,0.5944,1.1497,False
3000312,3000317,0.1967,0.8248,False
3000313,3000511,6.8911,1.2495,True
3000314,3000321,0.3122,2.64,False
3000315,3003076,30.0319,2.1212,False
3000316,3000319,0.0889,0.5,False
3000317,3000443,3.0381,2.1455,False
3000318,3000325,0.2542,1.3984,False
3000319,3000629,8.4658,1.0032,False
3000320,3092586,523.3425,0.1167,True
3000321,3000322,0.0156,0.2699,False
3000322,3000381,1.4094,4.0156,False
3000323,3000336,0.5008,3.5711,False
3000324,3000339,0.5164,1.0565,False
3000325,3001903,17.4203,2.9369,False
3000326,3000848,10.1772,1.2025,False
3000327,3000338,0.3714,0.2994,False
3000328,3002023,18.0386,3.4773,False
3000329,3000379,1.0378,0.8908,False
3000330,3000557,7.2956,0.4976,False
3000331,3000583,7.5372,3.071,False
3000332,3001273,12.7781,1.555,False
3000333,3001747,15.8875,2.6437,False
3000334,3002029,17.8189,2.6931,False
3000335,3016125,112.8086,0.5997,False
3000336,3000337,0.0117,0.2956,False
3000337,3000340,0.0756,1.3834,False
3000338,3000343,0.0744,5.013,False
3000339,3000435,2.0714,0.893,False
3000340,3000342,0.0114,0.6192,False
3000341,3000349,0.1439,1.0847,False
3000342,3000344,0.0222,0.3391,False
3000343,3000392,0.9258,0.1664,False
3000344,3000345,0.0456,11.3811,False
3000345,3000346,0.0189,0.6487,False
3000346,3000347,0.0117,1.1505,False
3000347,3000348,0.0203,0.2258,False
3000348,3000350,0.055,2.4824,False
3000349,3000373,0.4567,0.9218,False
3000350,3000351,0.0025,0.4441,False
3000351,3000352,0.0131,1.0149,False
3000352,3000353,0.015,2.9339,False
3000353,3000354,0.0153,0.4421,False
3000354,3000356,0.0447,1.0597,False
3000355,3000378,0.4383,0.6665,False
3000356,3000357,0.0147,1.0668,False
3000357,3000358,0.0286,2.1238,False
3000358,3000359,0.0225,0.6372,False
3000359,3000360,0.0314,0.7064,False
3000360,3000361,0.0056,1.0829,False
3000361,3000362,0.0017,1.4102,False
3000362,3000363,0.0231,0.97,False
3000363,3000364,0.0108,1.4129,False
3000364,3000367,0.0853,0.3272,False
3000365,3030569,206.1664,1.0004,False
3000367,3000368,0.0147,0.6763,False
3000368,3000369,0.01,4.52,False
3000369,3000370,0.0022,0.2209,False
3000370,3000371,0.0622,3.6051,False
3000371,3000372,0.0017,0.3333,False
3000372,3000375,0.06,0.984,False
3000373,3000457,2.3664,1.0556,False
3000374,3003791,33.7803,1.2694,False
3000375,3000376,0.0103,6.1804,False
3000376,3000380,0.1133,0.1011,False
3000377,3000429,1.1825,2.1387,False
3000378,3000406,0.6236,1.0003,False
3000379,3048847,311.8581,0.7591,False
3000380,3000382,0.0103,6.7726,False
3000381,3000519,5.3328,0.4069,False
3000382,3000383,0.0203,0.1881,False
3000383,3000384,0.0136,0.424,False
3000384,3000385,0.0428,2.9082,False
3000385,3000387,0.0486,7.6762,False
3000386,3000390,0.045,0.7799,False
3000387,3000388,0.0119,0.1527,False
3000388,3000389,0.0053,1.0306,False
3000389,3000393,0.1469,0.8428,False
3000390,3001203,11.2475,8.912,False
3000391,3000639,6.8606,1.4991,False
3000392,3000707,7.5619,25.8033,False
3000393,3000394,0.0094,1.4049,False
3000394,3000395,0.0108,0.2408,False
3000395,3000396,0.0322,10.6695,False
3000396,3000397,0.02,1.0604,False
3000397,3000398,0.0031,0.6238,False
3000398,3000401,0.0681,1.1358,False
3000399,3001598,13.5669,1.0829,False
3000400,3034201,228.3583,0.5205,True
3000401,3000402,0.015,1.0612,False
3000402,3000405,0.0744,0.8832,False
3000403,3238159,1555.1375,0.9291,True
3000404,3000909,8.8456,0.6201,False
3000405,3000407,0.0222,1.1333,False
3000406,3000430,0.5425,1.4999,False
3000407,3000408,0.0117,0.2642,False
3000408,3000409,0.0075,2.0465,False
3000409,3000410,0.0139,2.458,False
3000410,3000412,0.0508,0.5178,False
3000411,3001934,15.7083,2.3471,False
3000412,3000413,0.0336,0.6403,False
3000413,3000414,0.0183,5.9397,False
3000414,3000416,0.0231,0.1751,False
3000415,3000702,6.9828,0.9999,False
3000416,3000417,0.0239,0.7709,False
3000417,3000418,0.0353,2.6283,False
3000418,3000419,0.0267,1.0129,False
3000419,3000420,0.0275,0.219,False
3000420,3000421,0.0553,0.5712,False
3000421,3000423,0.0111,5.9965,False
3000422,3001116,9.9761,0.4559,True
3000423,3000424,0.0536,0.4004,False
3000424,3000425,0.0103,2.2477,False
3000425,3000426,0.0519,0.4634,False
3000426,3000427,0.0136,4.5152,False
3000427,3000428,0.0519,1.8231,False
3000428,3000431,0.1047,0.1796,False
3000429,3000487,2.7617,0.8955,False
3000430,3000446,0.5364,1.0,False
3000431,3000432,0.0103,0.2962,False
3000432,3000433,0.0031,23.9047,False
3000433,3000434,0.0642,0.2405,False
3000434,3000436,0.0408,0.4284,False
3000435,3000550,4.7647,0.9997,False
3000436,3000437,0.0281,1.9998,False
3000437,3000438,0.0247,0.7133,False
3000438,3000439,0.0075,2.8574,False
3000439,3000440,0.0428,0.9094,False
3000440,3000441,0.0406,0.2221,False
3000441,3000444,0.0589,1.3285,False
3000442,3001196,9.9247,0.4423,False
3000443,3000447,0.1706,1.0,False
3000444,3000448,0.1631,1.0159,False
3000445,3000907,7.7747,0.7584,False
3000446,3000467,1.1483,1.0,False
3000447,3001402,10.9742,0.7689,False
3000448,3000449,0.0331,1.3151,False
3000449,3000450,0.1283,0.9769,False
3000450,3000451,0.0256,1.5184,False
3000451,3000452,0.0031,0.307,False
3000452,3000453,0.185,4.7628,False
3000453,3000454,0.0028,0.6834,False
3000454,3000455,0.0483,2.8655,False
3000455,3000456,0.0308,0.9401,False
3000456,3000458,0.0789,0.3427,False
3000457,3000461,0.0608,0.9475,False
3000458,3000459,0.0231,0.9268,False
3000459,3000460,0.0261,0.8199,False
3000460,3000462,0.1933,2.0862,False
3000461,3000472,0.6439,0.2554,False
3000462,3000463,0.0761,0.2623,False
3000463,3000464,0.1214,2.2266,False
3000464,3000465,0.0072,1.5008,False
3000465,3000466,0.0197,4.0947,False
3000466,3000468,0.15,0.0961,False
3000467,3000542,3.1575,0.9999,False
3000468,3000469,0.0103,1.9839,False
3000469,3000471,0.045,0.4948,False
3000470,3000482,0.5675,0.0464,False
3000471,3000473,0.0917,0.9396,False
3000472,3000478,0.2917,1.0794,False
3000473,3000474,0.005,7.4395,False
3000474,3000475,0.0672,0.3951,False
3000475,3000476,0.0203,0.4811,False
3000476,3000479,0.1761,2.0789,False
3000477,3001009,6.9147,4.1923,False
3000478,3000510,1.9339,3.6278,False
3000479,3000480,0.0797,0.3561,False
3000480,3000483,0.3261,2.6309,False
3000481,3001410,9.3292,0.23,True
3000482,3000559,2.8664,1.267,False
3000483,3000484,0.0278,0.2393,False
3000484,3000485,0.0078,8.3615,False
3000485,3000486,0.0014,0.3335,False
3000486,3000488,0.2228,1.7088,False
3000487,3000513,1.3386,0.2235,False
3000488,3000489,0.135,0.2106,False
3000489,3000490,0.045,4.2228,False
3000490,3000491,0.0278,1.4864,False
3000491,3000492,0.0714,0.3408,False
3000492,3000493,0.2728,5.8432,False
3000493,3000494,0.0406,0.0887,False
3000494,3000498,0.0744,2.5049,False
3000495,3000496,0.0028,1.1298,False
3000496,3000594,2.1367,0.8847,False
3000497,3005636,36.1036,2.0835,True
3000498,3000499,0.0006,3.9998,False
3000499,3000500,0.0608,0.4272,False
3000500,3000501,0.0839,1.3221,False
3000501,3000502,0.0967,0.2387,False
3000502,3000504,0.1711,3.0981,False
3000503,3000904,4.4417,0.1709,True
3000504,3000505,0.0775,1.7955,False
3000505,3000506,0.0092,0.1486,False
3000506,3000508,0.0158,3.3763,False
3000507,3057787,362.2439,2.4928,True
3000508,3000509,0.0489,1.6604,False
3000509,3000512,0.0331,0.6796,False
3000510,3000531,0.5358,1.0843,False
3000511,3008227,55.7992,0.1997,False
3000512,3000516,0.1247,0.6354,False
3000513,3000523,0.2689,1.9994,False
3000514,3000530,0.4614,1.0001,False
3000515,3002806,16.1794,3.5618,False
3000516,3000517,0.0189,0.4629,False
3000517,3000518,0.0069,0.5205,False
3000518,3000520,0.0314,9.0365,False
3000519,3000736,2.7103,1.9447,False
3000520,3000521,0.0064,0.2506,False
3000521,3000522,0.0347,7.5541,False
3000522,3000525,0.1122,0.6461,False
3000523,3000529,0.1789,0.199,False
3000524,3000856,3.5275,0.0533,False
3000525,3000526,0.02,0.5216,False
3000526,3000532,0.1528,0.3335,False
3000527,3001831,10.0644,0.4162,False
3000528,3000533,0.0739,2.3948,False
3000529,3000601,1.0639,2.2125,False
3000530,3009654,61.3867,0.141,False
3000531,3000698,1.9311,1.0,False
3000532,3000534,0.03,1.0004,False
3000533,3000554,0.5286,0.6952,False
3000534,3000536,0.0511,2.1567,False
3000535,3000603,0.9981,1.001,False
3000536,3000537,0.03,0.6395,False
3000537,3000538,0.0156,5.8688,False
3000538,3000540,0.045,0.1677,False
3000539,3000660,1.4517,2.9981,False
3000540,3000541,0.0758,0.8685,False
3000541,3000543,0.0244,2.5439,False
3000542,3000545,0.0469,0.6669,False
3000543,3000544,0.015,0.8323,False
3000544,3000547,0.0314,1.2006,False
3000545,3000576,0.4828,0.75,False
3000546,3000597,0.6736,1.5035,False
3000547,3000548,0.0053,0.5332,False
3000548,3000549,0.0264,0.626,False
3000549,3000551,0.1442,6.2251,False
3000550,3000593,0.6175,1.1206,False
3000551,3000552,0.0311,0.1538,False
3000552,3000555,0.0361,1.2086,False
3000553,3000561,0.1264,0.1903,False
3000554,3000749,1.9386,1.3318,False
3000555,3000556,0.0086,1.0005,False
3000556,3000563,0.0939,1.0164,False
3000557,3000577,0.2367,25.0913,False
3000558,3001347,6.0239,25.9976,False
3000559,3001115,4.5894,1.0183,False
3000560,3000678,1.1153,1.1171,False
3000561,3055508,344.3908,6.0491,False
3000562,3003368,25.4378,2.5075,False
3000563,3000565,0.0158,0.8123,False
3000564,3000658,0.8903,1.0004,False
3000565,3000566,0.0206,2.0907,False
3000566,3000567,0.005,0.6005,False
3000567,3000568,0.0056,1.9957,False
3000568,3000569,0.0192,3.7102,False
3000569,3000570,0.0033,1.0562,False
3000570,3000571,0.0356,0.1161,False
3000571,3000573,0.0189,4.3064,False
3000572,3000832,2.3133,0.0964,False
3000573,3000574,0.005,0.4256,False
3000574,3000575,0.0017,1.7112,False
3000575,3000578,0.0219,0.3512,False
3000576,3000598,0.1936,0.1931,False
3000577,3000644,0.6169,0.5001,False
3000578,3000579,0.0225,1.6648,False
3000579,3000584,0.0444,1.3004,False
3000580,3001707,8.1367,0.9992,False
3000581,3000683,0.9269,0.5008,False
3000582,3060319,368.9131,1.4739,False
3000583,3000599,0.115,2.0791,False
3000584,3000587,0.0108,0.7688,False
3000585,3000734,1.4772,0.9276,False
3000586,3036292,231.2097,6.689,True
3000587,3000588,0.0144,1.0,False
3000588,3000589,0.0267,3.351,False
3000589,3000590,0.0056,0.5973,False
3000590,3000592,0.0369,0.1792,False
3000591,3003272,24.3289,31.9964,True
3000592,3000595,0.0033,2.7903,False
3000593,3000753,1.5131,0.7142,False
3000594,3002003,10.0947,0.7001,False
3000595,3000596,0.0017,1.0781,False
3000596,3000600,0.0386,0.4539,False
3000597,3000745,1.4739,1.2827,False
3000598,3000890,2.5583,10.3563,False
3000599,3000652,0.5156,0.0831,False
3000600,3000602,0.0181,0.6119,False
3000601,3000623,0.1725,1.9961,False
3000602,3000606,0.0308,1.3024,False
3000603,3001143,4.3078,1.17,False
3000604,3000793,1.7481,2.3525,False
3000605,3000609,0.0553,0.6811,True
3000606,3000608,0.0422,1.5133,False
3000607,3000760,1.4642,0.0857,False
3000608,3000614,0.0242,4.2332,False
3000609,3000673,0.6167,1.5048,True
3000610,3001968,9.7342,0.4016,True
3000611,3021967,147.3114,2.9417,False
3000612,3001367,5.625,0.114,False
3000613,3000622,0.0503,0.9948,False
3000614,3000615,0.0044,0.1442,False
3000615,3000616,0.0033,1.5,False
3000616,3000617,0.0056,6.1985,False
3000617,3000618,0.005,0.1044,False
3000618,3000619,0.0008,1.9408,False
3000619,3000621,0.0119,1.4721,False
3000620,3035653,227.27,0.4281,True
3000621,3000627,0.0656,0.9713,False
3000622,3000787,1.5819,9.0561,True
3000623,3000659,0.3983,1.9443,False
3000624,3047868,298.5169,1.1802,False
3000625,3000992,3.0633,0.9362,False
3000626,3000912,2.4778,1.5408,False
3000627,3000630,0.0292,0.9485,False
3000628,3001038,3.36,0.6434,False
3000629,3000754,1.2433,4.5048,True
3000630,3000633,0.0381,1.4762,False
3000631,3000632,0.0061,0.2435,True
3000632,3000681,0.4858,1.0,False
3000633,3000634,0.0117,0.7945,False
3000634,3000635,0.0003,0.4531,False
3000635,3000636,0.0036,2.577,False
3000636,3000637,0.0069,2.3802,False
3000637,3000640,0.0394,0.1601,False
3000638,3000728,0.9464,0.6248,False
3000639,3000795,1.4728,0.6668,False
3000640,3000641,0.0208,4.3695,False
3000641,3000642,0.0033,0.2569,False
3000642,3000643,0.0106,1.8528,False
3000643,3000646,0.0433,2.5011,False
3000644,3000665,0.2436,1.1199,False
3000645,3000693,0.4542,0.9994,False
3000646,3000651,0.0697,0.4323,False
3000647,3002155,10.4533,3.1743,False
3000648,3000649,0.0111,1.0006,False
3000649,3016669,107.1469,0.4985,False
3000650,3000786,1.2517,1.3159,False
3000651,3000655,0.0264,1.4805,False
3000652,3000669,0.1997,4.165,False
3000653,3004288,28.2925,1.0876,False
3000654,3004110,27.7006,0.147,False
3000655,3000656,0.0144,0.0314,False
3000656,3000657,0.0122,18.2763,False
3000657,3000661,0.0519,0.8376,False
3000658,3001415,5.4447,1.1246,True
3000659,3000664,0.0744,0.4389,False
3000660,3001266,4.4986,0.9995,False
3000661,3000662,0.0092,4.3506,False
3000662,3000666,0.0558,0.3162,False
3000663,3004032,27.2342,1.2504,True
3000664,3000667,0.0231,1.4527,False
3000665,3000788,1.0922,0.125,False
3000666,3000668,0.0189,1.1333,False
3000667,3000670,0.0281,0.7067,False
3000668,3000671,0.0239,0.8984,False
3000669,3000688,0.145,0.5363,False
3000670,3000704,0.3092,4.0501,False
3000671,3000675,0.0289,0.5,False
3000672,3001660,6.9883,0.6683,False
3000673,3000709,0.3764,2.596,False
3000674,3001371,5.0272,1.1962,False
3000675,3000677,0.0092,2.0017,False
3000676,3000763,0.8033,1.1159,False
3000677,3000679,0.0028,6.7682,False
3000678,3001585,6.4506,1.2079,False
3000679,3000680,0.0006,0.0807,False
3000680,3000682,0.0022,0.61,False
3000681,3000727,0.5286,3.0064,True
3000682,3000684,0.0217,1.3912,False
3000683,3000996,2.5311,1.1582,True
3000684,3000685,0.0456,1.1793,False
3000685,3000686,0.0008,3.3899,False
3000686,3000687,0.0178,0.5001,False
3000687,3000695,0.0589,0.9204,False
3000688,3000694,0.0522,0.6042,True
3000689,3003217,22.9256,0.9219,False
3000690,3001335,4.6667,0.2323,True
3000691,3000875,1.5514,8.6513,True
3000692,3001039,2.7183,0.5013,True
3000693,3000722,0.3778,2.0018,False
3000694,3000708,0.1744,2.1448,True
3000695,3000696,0.0017,0.9552,False
3000696,3000697,0.005,0.989,False
3000697,3000699,0.0128,0.5121,False
3000698,3000712,0.2472,0.9224,False
3000699,3000700,0.0439,2.1996,False
3000700,3000701,0.0339,0.5099,False
3000701,3000703,0.0033,1.9996,False
3000702,3143586,799.6825,0.2113,False
3000703,3000710,0.1319,0.5598,False
3000704,3000706,0.0183,0.3747,False
