from_txn_id,to_device_profile_id,newness,proxy_type,match_status,device_type
3000833,DP-5e50706d005fbcc7,Found,,match_status:2,desktop
3000834,DP-5e50706d005fbcc7,Found,,match_status:2,desktop
3000838,DP-362cfb5dfd65e30e,New,,match_status:1,mobile
3000845,DP-a1847d11f567c945,New,,match_status:1,mobile
3000857,DP-6d3af844660bf8b9,New,,match_status:2,desktop
3000862,DP-ce69d00ba9811adb,New,,match_status:2,desktop
3000871,DP-64297e91c550cb8e,New,,match_status:1,mobile
3000872,DP-e50033c9230529fd,New,,match_status:1,mobile
3000876,DP-bd004005438187fa,Found,,match_status:2,desktop
3000880,DP-0f59161e6afc4bdc,Unknown,,match_status:2,desktop
3000886,DP-362cfb5dfd65e30e,New,,match_status:1,mobile
3000889,DP-6219a6a1444505b7,,,,
3000891,DP-24aec4368aab02de,Found,,match_status:2,desktop
3000893,DP-e7786fd0a5a5ff4a,Found,,match_status:2,desktop
3000895,DP-8a6c0744ebcb4791,New,,match_status:2,desktop
3000899,DP-f24ade7c2e6d575f,Unknown,,,mobile
3000901,DP-4e5c4bb452e1767c,New,,match_status:1,desktop
3000903,DP-7d9837a992885577,New,,match_status:2,desktop
3000904,DP-a47fc2b272be4608,Found,,match_status:2,mobile
3000911,DP-2b0b8f2c346eba51,New,,match_status:1,mobile
3000916,DP-ff047bbe95c2a786,New,,match_status:2,desktop
3000922,DP-f357962139691e3c,Found,,,desktop
3000932,DP-f9c575341d1fd9c4,Found,,,mobile
3000942,DP-0f50fa61e874e42a,New,,match_status:2,desktop
3000943,DP-322c802c686b9d29,New,,,desktop
3000945,DP-f357962139691e3c,New,,,desktop
3000953,DP-19f6252f51f2a5e6,New,,match_status:2,desktop
3000956,DP-8f5b755c0e0740dd,New,,match_status:2,desktop
3000960,DP-2611c8c9ad559274,Found,,,mobile
3000967,DP-2b745079d2b55d38,Found,,match_status:2,desktop
3000973,DP-97dc3365e078d588,Found,,,desktop
3000975,DP-49d9e88cd1c640d2,New,,match_status:2,mobile
3000981,DP-08e1df391c3d8068,Found,,match_status:2,desktop
3000987,DP-ff81bae26ed34d55,Found,,match_status:2,mobile
3000989,DP-ff81bae26ed34d55,New,,match_status:2,mobile
3000998,DP-238c382ea1e4422d,New,,match_status:2,desktop
3001002,DP-6a403e370f9c6026,Found,,match_status:2,desktop
3001004,DP-6219a6a1444505b7,,,,
3001006,DP-e7786fd0a5a5ff4a,Found,,match_status:2,desktop
3001011,DP-844b652163a04358,Found,,match_status:2,desktop
3001021,DP-968163eb9e81673f,New,,match_status:2,desktop
3001024,DP-528f97db24fda858,Found,,,mobile
3001039,DP-19f6252f51f2a5e6,New,,match_status:2,desktop
3001041,DP-f357962139691e3c,Found,,,desktop
3001046,DP-ce69d00ba9811adb,New,,match_status:2,desktop
3001059,DP-0f59161e6afc4bdc,New,,match_status:2,desktop
3001073,DP-e8d2826441a1cae2,Found,,match_status:2,mobile
3001083,DP-3c6c632c4845ca05,New,,match_status:2,desktop
3001089,DP-8f25f30bbbc4a719,New,,match_status:1,mobile
3001092,DP-2c3652ae19c1673a,New,,match_status:2,desktop
3001098,DP-c71f14da28a43716,New,,match_status:2,desktop
3001102,DP-61934688e850c59c,New,,,desktop
3001116,DP-c31dfe4ae829d5b7,Found,,match_status:2,desktop
3001123,DP-3237d43206503479,Found,,match_status:2,desktop
3001128,DP-d3d0ff4973c45267,Found,,match_status:2,desktop
3001159,DP-9b9ef7851258d3f7,Found,,match_status:2,mobile
3001160,DP-362cfb5dfd65e30e,New,,match_status:1,mobile
3001172,DP-19f6252f51f2a5e6,Found,IP_PROXY:HIDDEN,match_status:2,desktop
3001174,DP-ffab70dca2552537,Found,,match_status:2,desktop
3001176,DP-19f6252f51f2a5e6,Found,IP_PROXY:HIDDEN,match_status:2,desktop
3001180,DP-7d853ef684e66dfa,Found,,match_status:2,mobile
3001181,DP-4049f96f8cc92c3a,New,,match_status:2,desktop
3001184,DP-b24806b691565b09,New,,match_status:1,mobile
3001185,DP-b513fa67e3574f35,New,,match_status:2,desktop
3001202,DP-6219a6a1444505b7,,,,
3001209,DP-f1ca993deb8b7917,Unknown,,,mobile
3001213,DP-5b8a0bde60384dcb,New,,match_status:2,mobile
3001225,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3001229,DP-7d853ef684e66dfa,Found,,match_status:2,mobile
3001238,DP-ff047bbe95c2a786,New,,match_status:2,desktop
3001244,DP-0877cdfbe6c4827e,New,,match_status:2,desktop
3001248,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3001253,DP-f357962139691e3c,Found,,,desktop
3001257,DP-6219a6a1444505b7,,,,
3001264,DP-f357962139691e3c,Unknown,,,desktop
3001274,DP-7ffb6b7c2801dd6e,New,,match_status:2,mobile
3001276,DP-715f5d9b05686e36,Unknown,,,desktop
3001277,DP-f182bd485fa26aec,New,,match_status:2,desktop
3001279,DP-d44670203cb37a73,New,,match_status:2,desktop
3001286,DP-bcbf34b7984d2488,Found,,match_status:1,mobile
3001287,DP-cfd9567871d280b4,New,,match_status:2,desktop
3001297,DP-117e0ec13c075458,Found,,match_status:2,desktop
3001298,DP-db873ba70fc7e3fc,New,,match_status:2,desktop
3001303,DP-88d1a563882f8462,Found,,match_status:2,desktop
3001307,DP-61934688e850c59c,New,,,desktop
3001308,DP-86da3a3573db2589,New,,match_status:1,mobile
3001327,DP-17d90e4c3deb25e8,New,,match_status:1,mobile
3001335,DP-816cd39a2f752779,Found,,match_status:2,desktop
3001336,DP-690949006946889c,New,,match_status:2,mobile
3001338,DP-add13ee6c3023a23,Found,,match_status:2,desktop
3001339,DP-690949006946889c,Found,,match_status:2,mobile
3001340,DP-78e8e908f0f78878,New,,match_status:1,mobile
3001343,DP-f0e20501021b0a81,New,,match_status:2,desktop
3001355,DP-02a584e0c9de299b,Found,,match_status:2,desktop
3001358,DP-4e79c11b7d12bfae,New,,match_status:2,desktop
3001369,DP-285487550b868044,Unknown,,match_status:2,mobile
3001377,DP-690949006946889c,Found,,match_status:2,mobile
3001381,DP-690949006946889c,Found,,match_status:2,mobile
3001382,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3001384,DP-6f1021123905e13c,New,,match_status:2,desktop
3001385,DP-e7786fd0a5a5ff4a,New,,match_status:2,desktop
3001386,DP-f357962139691e3c,New,,,desktop
3001388,DP-690949006946889c,Found,,match_status:2,mobile
3001393,DP-325a6a2f40e252e8,New,,match_status:0,desktop
3001397,DP-828f9ca43b9c4058,Found,,match_status:2,desktop
3001398,DP-86da3a3573db2589,Found,,match_status:1,mobile
3001399,DP-4a27375241acabb0,Found,,match_status:2,desktop
3001402,DP-df9b106a3dd4982b,Found,IP_PROXY:ANONYMOUS,,mobile
3001406,DP-4e79c11b7d12bfae,Found,,match_status:2,desktop
3001408,DP-502fb54101bce3d3,Unknown,,match_status:2,desktop
3001410,DP-690949006946889c,Found,,match_status:2,mobile
3001411,DP-325a6a2f40e252e8,New,,match_status:1,desktop
3001413,DP-07d608f0633de6c3,Found,,match_status:2,desktop
3001414,DP-84a9ed85c573119d,Found,,match_status:2,desktop
3001415,DP-6a84c62064fd51d8,Found,,match_status:2,desktop
3001425,DP-eeca3d773fd2c190,New,,match_status:2,desktop
3001433,DP-f357962139691e3c,New,,,desktop
3001439,DP-6219a6a1444505b7,,,,
3001447,DP-ed0abbb58b848dd3,Found,,match_status:2,desktop
3001454,DP-3181c06233b49f92,New,,match_status:2,desktop
3001479,DP-ff81bae26ed34d55,Found,,match_status:2,mobile
3001480,DP-0b0a5502321214c9,New,,,mobile
3001485,DP-f24ade7c2e6d575f,Unknown,,,mobile
3001492,DP-97a6e76f794f1e16,Found,,match_status:2,desktop
3001498,DP-dd6274a66b7ecab7,Found,,match_status:2,mobile
3001500,DP-2c3652ae19c1673a,Found,,match_status:2,desktop
3001501,DP-b30bdd84c28b3179,New,IP_PROXY:TRANSPARENT,match_status:1,mobile
3001509,DP-2b0b8f2c346eba51,Found,IP_PROXY:TRANSPARENT,match_status:1,mobile
3001514,DP-9c619e68034e4e24,New,,match_status:2,desktop
3001518,DP-3936ef335378ed70,New,,,desktop
3001522,DP-3936ef335378ed70,New,,,desktop
3001526,DP-fca608c486a47cd9,Found,,match_status:2,desktop
3001528,DP-f357962139691e3c,Found,,,desktop
3001533,DP-b82f4dfd5cda0587,New,,match_status:2,mobile
3001536,DP-534cca88bee52149,Found,,match_status:2,desktop
3001538,DP-4ea89198fe7f37e3,New,,match_status:2,desktop
3001546,DP-f357962139691e3c,New,,,desktop
3001555,DP-325a6a2f40e252e8,New,,match_status:2,desktop
3001561,DP-2b745079d2b55d38,New,,match_status:2,desktop
3001563,DP-325a6a2f40e252e8,Found,,match_status:2,desktop
3001565,DP-8f5e9b92d4106a76,New,IP_PROXY:TRANSPARENT,match_status:1,mobile
3001574,DP-37a11416ceda47c2,New,,match_status:2,desktop
3001577,DP-9955998154c15612,New,,match_status:2,desktop
3001590,DP-6d5b979bd90a6f32,New,,match_status:2,desktop
3001593,DP-ce69d00ba9811adb,Found,,match_status:2,desktop
3001599,DP-868b8636aca79e26,Found,,match_status:2,desktop
3001605,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3001610,DP-9158799ee590db02,New,,match_status:1,mobile
3001611,DP-3ab2abf49d51dcf3,Found,,match_status:2,desktop
3001619,DP-02a584e0c9de299b,Found,,match_status:2,desktop
3001621,DP-a2daf340534529e3,Found,,match_status:2,desktop
3001628,DP-a6c6d990df287aff,New,,match_status:2,desktop
3001633,DP-2b0b8f2c346eba51,New,,match_status:1,mobile
3001634,DP-06b586604af20226,New,,match_status:2,desktop
3001635,DP-1af9a5620754567f,Found,,,desktop
3001637,DP-d2f1d6bf28bdd734,New,,match_status:2,desktop
3001639,DP-51b6b15203b21a7a,Found,,match_status:2,desktop
3001645,DP-f357962139691e3c,Found,,,desktop
3001646,DP-2eb5113edc538192,New,,match_status:2,desktop
3001647,DP-f357962139691e3c,New,,,desktop
3001650,DP-197bbcf019ce7dbb,New,,match_status:1,mobile
3001651,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3001657,DP-559c70ad66d4a098,Found,,match_status:2,desktop
3001664,DP-8cfa2d1339a6d424,New,,match_status:1,mobile
3001667,DP-23818859e6ef33ee,New,,,mobile
3001668,DP-9c3c4eece1366ad8,Found,IP_PROXY:TRANSPARENT,match_status:2,desktop
3001672,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3001689,DP-f357962139691e3c,New,,,desktop
3001694,DP-f357962139691e3c,Found,,,desktop
3001699,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3001700,DP-f1269b1cc714c5b6,Found,,match_status:2,mobile
3001701,DP-3ad8ae275b0e6909,Found,,match_status:2,mobile
3001702,DP-a5753b5112a08c92,New,,match_status:1,mobile
3001711,DP-ef6322bed0909077,New,,,mobile
3001712,DP-61934688e850c59c,New,,,desktop
3001713,DP-42c1a0b866d436aa,New,,match_status:2,desktop
3001718,DP-7ffb6b7c2801dd6e,New,,match_status:2,mobile
3001719,DP-06b586604af20226,Found,,match_status:2,desktop
3001724,DP-bcbf34b7984d2488,New,,match_status:1,mobile
3001728,DP-efa48e777361f667,New,,match_status:2,mobile
3001730,DP-bfad23395b9384a1,Found,IP_PROXY:TRANSPARENT,match_status:2,desktop
3001740,DP-f357962139691e3c,Found,,,desktop
3001745,DP-362cfb5dfd65e30e,New,,match_status:1,mobile
3001747,DP-f357962139691e3c,Unknown,,,desktop
3001750,DP-3ad8ae275b0e6909,Found,,match_status:2,mobile
3001753,DP-9a9a6ddbc1a5ad1c,Found,,match_status:2,desktop
3001769,DP-4761d9510e578f72,New,IP_PROXY:TRANSPARENT,,desktop
3001772,DP-1b7be2645d1b2476,Found,,match_status:2,desktop
3001784,DP-f51825a694a2e557,New,,match_status:2,desktop
3001796,DP-add13ee6c3023a23,Found,,,desktop
3001798,DP-1b7be2645d1b2476,Found,,match_status:2,desktop
3001814,DP-be548a3e946d85bd,Found,,match_status:2,mobile
3001815,DP-2639fef67c582706,New,,,desktop
3001820,DP-97dc3365e078d588,New,,,desktop
3001837,DP-8b9879d8b631f53c,New,,match_status:2,desktop
3001846,DP-f357962139691e3c,Found,,,desktop
3001851,DP-be548a3e946d85bd,Found,,match_status:2,mobile
3001853,DP-4049f96f8cc92c3a,New,,match_status:2,desktop
3001854,DP-37a11416ceda47c2,Found,,match_status:2,desktop
3001865,DP-88d1a563882f8462,Found,,match_status:2,desktop
3001866,DP-3af7d8e41c2fa51f,New,,match_status:2,desktop
3001879,DP-61934688e850c59c,Found,,,desktop
3001887,DP-add13ee6c3023a23,Found,,match_status:2,desktop
3001892,DP-869b60598afe0386,Found,,match_status:1,mobile
3001905,DP-6219a6a1444505b7,,,,
3001907,DP-8b7a6bd5dabcd234,New,,,mobile
3001913,DP-2b0b8f2c346eba51,New,,match_status:1,mobile
3001918,DP-362cfb5dfd65e30e,New,,match_status:1,mobile
3001919,DP-bcbf34b7984d2488,New,,match_status:1,mobile
3001920,DP-869b60598afe0386,Found,,match_status:1,mobile
3001925,DP-61934688e850c59c,New,,,desktop
3001945,DP-79561582397f3834,New,,match_status:2,mobile
3001949,DP-362cfb5dfd65e30e,New,,match_status:1,mobile
3001955,DP-e96d62554e3d7bd0,Found,,match_status:2,mobile
3001957,DP-7dd4a0e2fd2b9859,Unknown,,match_status:1,mobile
3001958,DP-575449b11bccfe8c,New,,match_status:2,mobile
3001959,DP-a5753b5112a08c92,New,,match_status:1,mobile
3001961,DP-06147b7929c2e4d8,New,,match_status:2,desktop
3001968,DP-d3d0ff4973c45267,Found,,match_status:2,desktop
3001969,DP-d3d0ff4973c45267,New,,match_status:2,desktop
3001973,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3001984,DP-f24ade7c2e6d575f,Unknown,,,mobile
3001986,DP-8d29acd2a5ac32c5,Found,,match_status:2,desktop
3001990,DP-ee9f0d210450c978,New,,match_status:2,mobile
3001996,DP-6219a6a1444505b7,,,,
3001999,DP-f786688573f0fd5c,New,,match_status:1,mobile
3002008,DP-6219a6a1444505b7,,,,
3002010,DP-f357962139691e3c,Found,,,desktop
3002013,DP-6219a6a1444505b7,,,,
3002019,DP-61934688e850c59c,Found,,,desktop
3002021,DP-9158799ee590db02,New,,match_status:1,mobile
3002022,DP-ca8e185ffaf410b9,New,,match_status:2,desktop
3002024,DP-e7786fd0a5a5ff4a,Found,,match_status:2,desktop
3002027,DP-0f59161e6afc4bdc,Found,,match_status:2,desktop
3002035,DP-61934688e850c59c,Found,,,desktop
3002036,DP-bb437d125e981b28,New,,,mobile
3002038,DP-f51825a694a2e557,New,,match_status:2,desktop
3002039,DP-667058f5cffb9e83,New,,match_status:2,mobile
3002040,DP-f182bd485fa26aec,New,,match_status:2,desktop
3002048,DP-61934688e850c59c,New,,,desktop
3002050,DP-e7786fd0a5a5ff4a,Found,,match_status:2,desktop
3002056,DP-ed0abbb58b848dd3,Found,,match_status:2,desktop
3002069,DP-667058f5cffb9e83,Found,,match_status:2,mobile
3002070,DP-f24ade7c2e6d575f,Unknown,,,mobile
3002077,DP-f357962139691e3c,Found,,,desktop
3002080,DP-4d9d68df8bb9d8d9,New,,match_status:2,desktop
3002085,DP-e7786fd0a5a5ff4a,Found,,match_status:2,desktop
3002087,DP-3af5209112683dc7,New,,,mobile
3002092,DP-2999db78c3fcc9bc,New,,,mobile
3002094,DP-ce69d00ba9811adb,Found,,match_status:2,desktop
3002095,DP-6d8ccb43045b4371,New,,match_status:2,desktop
3002099,DP-036240d88033b36e,Found,,match_status:2,mobile
3002110,DP-f1269b1cc714c5b6,Found,,match_status:2,mobile
3002114,DP-fd222816fd801abc,New,,match_status:2,desktop
3002118,DP-d5aac356bc162764,Found,,match_status:2,desktop
3002120,DP-f357962139691e3c,New,,,desktop
3002122,DP-17d90e4c3deb25e8,New,,match_status:1,mobile
3002138,DP-e7786fd0a5a5ff4a,Found,,match_status:2,desktop
3002140,DP-20d13a7ca4d35b0d,New,,,mobile
3002144,DP-600fd0648c93a20b,New,,,mobile
3002145,DP-1b8d58e6d8df522f,New,,,mobile
3002147,DP-fd222816fd801abc,Found,,match_status:2,desktop
3002149,DP-f357962139691e3c,New,,,desktop
3002161,DP-f357962139691e3c,New,,,desktop
3002169,DP-d3d0ff4973c45267,New,,match_status:2,desktop
3002179,DP-ce93a2021d3614ae,New,,,mobile
3002187,DP-f357962139691e3c,New,,,desktop
3002189,DP-2b0b8f2c346eba51,New,,match_status:1,mobile
3002190,DP-06f04512fee5ad73,Found,,match_status:2,desktop
3002193,DP-c31dfe4ae829d5b7,Found,,match_status:2,desktop
3002198,DP-078beeb4d2930693,Found,,match_status:2,desktop
3002202,DP-3f09dc431c6a762b,Found,,match_status:2,desktop
3002203,DP-868b8636aca79e26,Found,,match_status:2,desktop
3002204,DP-f357962139691e3c,New,,,desktop
3002205,DP-56c9b2f3416a8a7b,New,,match_status:1,mobile
3002207,DP-868b8636aca79e26,Found,,match_status:2,desktop
3002210,DP-534cca88bee52149,Found,,match_status:2,desktop
3002217,DP-c31dfe4ae829d5b7,New,,match_status:2,desktop
3002220,DP-f069b87fe5d07dd5,Found,,match_status:2,desktop
3002221,DP-9bd5eb4690a91c6e,New,,match_status:2,desktop
3002222,DP-06f04512fee5ad73,New,,match_status:2,desktop
3002229,DP-2b0b8f2c346eba51,New,,match_status:1,mobile
3002234,DP-db7e11caf8e145de,Found,,,desktop
3002242,DP-534cca88bee52149,New,,match_status:2,desktop
3002249,DP-f786688573f0fd5c,New,,match_status:1,mobile
3002261,DP-ce69d00ba9811adb,Found,,match_status:2,desktop
3002267,DP-89a35af628b9f3bd,New,,,desktop
3002278,DP-5e47abe3e5f7ed69,Found,,match_status:2,mobile
3002280,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3002282,DP-b1b5c9a9c03ae71c,Found,,,mobile
3002286,DP-f357962139691e3c,New,,,desktop
3002287,DP-4e5c4bb452e1767c,New,,match_status:2,desktop
3002288,DP-73a01afd29c6f982,Found,,match_status:2,desktop
3002290,DP-7dd4a0e2fd2b9859,Unknown,,,mobile
3002294,DP-0f59161e6afc4bdc,Found,,match_status:1,desktop
