customer_id,total_txns,online_txns,in_person_txns,region_count,avg_amount,max_amount,first_ts,last_ts
C00038,16,0,16,2,63.091875,170.95,2016-08-11 16:22:32,2016-12-28 13:49:39
C00039,1,0,1,1,23.91,23.91,2016-08-27 00:17:52,2016-08-27 00:17:52
C00040,2,0,2,2,529.28,958.63,2016-07-05 19:58:33,2016-08-03 20:10:27
C00041,1,0,1,1,49.08,49.08,2016-12-09 04:12:23,2016-12-09 04:12:23
C00042,3,0,3,1,102.31333333333333,109.01,2016-07-28 03:40:23,2016-11-22 04:17:46
C00043,4,3,1,1,101.9975,107.92,2016-07-26 17:36:26,2016-08-07 16:03:28
C00044,15,1,14,1,98.096,262.94,2016-07-18 03:18:36,2016-12-31 20:49:11
C00045,22,22,0,0,39.70136363636364,81.62,2016-07-03 21:13:34,2016-12-28 17:40:04
C00046,3,0,3,1,131.48,160.42,2016-10-28 17:58:53,2016-11-05 13:14:23
C00047,2,2,0,1,39.805,49.63,2016-08-01 01:56:50,2016-08-10 04:04:24
C00048,1,1,0,1,22.07,22.07,2016-07-11 20:12:47,2016-07-11 20:12:47
C00049,1,1,0,1,100.01,100.01,2016-07-13 02:19:57,2016-07-13 02:19:57
C00050,93,0,93,15,162.47731182795698,1104.04,2016-07-04 21:42:28,2016-12-18 18:40:31
C00051,42,7,35,16,356.28809523809525,1824.04,2016-07-02 16:05:54,2016-12-29 22:01:35
C00052,2,1,1,2,179.995,209.92,2016-07-21 22:44:27,2016-12-19 14:02:54
C00053,1,0,1,1,675.7,675.7,2016-11-09 12:58:57,2016-11-09 12:58:57
C00054,1,0,1,1,35.87,35.87,2016-07-17 17:55:44,2016-07-17 17:55:44
C00055,2,1,1,1,91.68,108.41,2016-07-28 12:49:49,2016-10-13 20:35:35
C00056,32,0,32,2,171.9290625,439.99,2016-07-21 18:52:53,2016-12-29 03:17:44
C00057,46,0,46,3,156.75021739130435,1909.98,2016-07-06 00:15:00,2016-12-28 16:20:43
C00058,1,1,0,1,101.39,101.39,2016-07-14 22:03:11,2016-07-14 22:03:11
C00059,589,11,578,5,102.9385908319185,2183.24,2016-07-02 17:43:33,2016-12-29 13:13:40
C00060,30,30,0,11,284.495,800.08,2016-07-07 20:10:22,2016-12-23 21:50:18
C00061,2,1,1,2,94.43,149.93,2016-07-11 16:44:15,2016-10-29 23:34:45
C00062,1,1,0,1,75.05,75.05,2016-12-15 03:44:57,2016-12-15 03:44:57
C00063,6,1,5,1,336.1983333333333,693.16,2016-07-16 14:30:11,2016-10-05 00:40:06
C00064,2,0,2,2,62.92,77.89,2016-10-18 20:56:05,2016-11-16 02:42:53
C00065,1,1,0,0,75.74,75.74,2016-11-18 01:03:49,2016-11-18 01:03:49
C00066,1,1,0,1,149.93,149.93,2016-10-01 06:48:43,2016-10-01 06:48:43
C00067,7,0,7,1,204.98142857142855,833.93,2016-07-03 00:25:44,2016-12-26 17:49:26
C00068,4,3,1,1,156.2175,335.05,2016-07-03 18:07:43,2016-10-27 13:15:21
C00069,18,1,17,12,131.54555555555555,1455.82,2016-07-14 12:54:39,2016-12-19 14:31:45
C00070,4,0,4,1,142.94,256.01,2016-08-04 20:32:10,2016-10-17 01:21:51
C00071,15,15,0,0,78.78800000000001,350.8,2016-07-25 04:04:16,2016-11-30 00:39:49
C00072,10,0,10,1,148.01399999999998,773.99,2016-09-01 06:42:48,2016-11-20 19:22:01
C00073,101,101,0,5,40.131485148514855,273.86,2016-07-08 20:42:24,2016-12-31 02:24:59
C00074,2,0,2,1,65.755,97.05,2016-10-28 21:06:48,2016-11-21 21:38:30
C00075,1,1,0,1,149.94,149.94,2016-09-06 20:37:07,2016-09-06 20:37:07
C00076,11,8,3,7,192.97454545454545,553.92,2016-07-14 18:17:17,2016-11-04 16:07:17
C00077,1,1,0,0,53.64,53.64,2016-10-30 00:44:40,2016-10-30 00:44:40
C00078,3,0,3,3,133.97666666666666,225.95,2016-09-10 12:15:06,2016-11-06 21:19:17
C00079,9,0,9,1,126.22444444444444,171.04,2016-10-18 22:40:01,2016-12-27 15:12:58
C00080,1,1,0,0,19.12,19.12,2016-11-08 12:54:03,2016-11-08 12:54:03
C00081,50,3,47,1,152.5658,977.77,2016-07-02 22:16:22,2016-12-28 00:34:49
C00082,3,1,2,1,62.556666666666665,88.86,2016-07-23 21:13:47,2016-10-20 23:56:36
C00083,3,0,3,1,42.34666666666667,58.0,2016-07-15 20:27:06,2016-08-18 01:29:26
C00084,2,2,0,0,37.730000000000004,40.72,2016-08-19 12:26:44,2016-08-19 21:47:31
C00085,2,0,2,1,44.0,48.96,2016-12-10 16:04:17,2016-12-18 21:05:53
C00086,5,1,4,2,52.936,93.07,2016-07-24 16:29:44,2016-12-28 18:00:26
C00087,6,0,6,1,155.045,279.97,2016-07-28 15:42:00,2016-11-07 02:08:33
C00088,4,0,4,2,80.2125,107.93,2016-07-12 21:18:30,2016-08-31 23:14:09
C00089,9,0,9,6,70.4688888888889,196.0,2016-07-02 17:53:03,2016-12-28 02:41:45
C00090,109,8,101,4,206.5835779816514,1879.91,2016-07-03 18:11:59,2016-12-25 17:33:05
C00091,1,1,0,0,30.74,30.74,2016-10-22 19:17:56,2016-10-22 19:17:56
C00092,77,0,77,1,48.91649350649351,77.07,2016-07-04 01:17:39,2016-12-17 01:20:11
C00093,2,0,2,2,276.045,475.04,2016-07-18 15:00:01,2016-11-12 01:56:16
C00094,809,49,760,20,141.81447466007418,2330.75,2016-07-02 03:45:41,2016-12-30 15:26:23
C00095,4,0,4,1,93.635,117.04,2016-09-07 13:06:40,2016-10-12 12:58:51
C00096,1,1,0,0,36.18,36.18,2016-07-28 04:22:07,2016-07-28 04:22:07
C00097,5,5,0,5,123.024,250.06,2016-07-10 15:05:33,2016-07-26 17:31:02
C00098,2,2,0,0,103.935,108.78,2016-07-24 02:11:12,2016-09-03 02:34:19
C00099,1,0,1,1,81.03,81.03,2016-10-31 22:47:41,2016-10-31 22:47:41
C00100,1,1,0,0,58.84,58.84,2016-08-11 21:48:11,2016-08-11 21:48:11
C00101,26,0,26,3,92.16692307692308,335.08,2016-07-02 19:37:50,2016-11-09 22:13:14
C00102,1,0,1,1,150.99,150.99,2016-08-26 00:18:55,2016-08-26 00:18:55
C00103,13,5,8,5,776.1669230769231,2765.37,2016-07-17 01:32:08,2016-12-31 00:33:11
C00104,10,10,0,7,172.52,250.06,2016-07-19 14:45:00,2016-10-07 22:53:45
C00105,5,2,3,4,197.39000000000001,335.01,2016-07-17 20:47:17,2016-12-16 01:32:12
C00106,26,0,26,2,92.39423076923077,323.06,2016-07-04 01:13:44,2016-12-21 14:22:01
C00107,249,12,237,5,119.42706827309237,2143.51,2016-07-06 19:35:51,2016-12-31 00:06:55
C00108,12,0,12,3,102.16250000000001,552.09,2016-08-01 15:20:05,2016-12-21 17:47:46
C00109,1,1,0,1,149.93,149.93,2016-09-08 23:35:50,2016-09-08 23:35:50
C00110,6,0,6,1,62.17333333333334,77.06,2016-09-02 16:40:40,2016-09-28 19:38:26
C00111,2,1,1,1,199.54999999999998,364.96,2016-07-21 14:26:13,2016-10-07 20:15:46
C00112,8,4,4,1,169.10625,891.91,2016-07-10 20:46:04,2016-10-09 21:47:09
C00113,33,0,33,1,71.51818181818182,210.02,2016-07-03 14:43:30,2016-12-24 18:07:50
C00114,2,2,0,2,125.0,200.08,2016-07-18 21:03:16,2016-08-25 20:35:43
C00115,1,1,0,1,100.03,100.03,2016-07-25 15:55:46,2016-07-25 15:55:46
C00116,45,2,43,1,100.45911111111111,200.01,2016-08-04 15:18:20,2016-11-23 15:58:07
C00117,1,1,0,1,25.09,25.09,2016-08-28 00:08:47,2016-08-28 00:08:47
C00118,2,2,0,1,175.005,199.93,2016-10-20 16:42:55,2016-10-20 18:56:55
C00119,1,0,1,1,68.48,68.48,2016-12-18 20:14:34,2016-12-18 20:14:34
C00120,4,0,4,1,67.4325,108.9,2016-09-15 18:33:54,2016-10-23 00:02:58
C00121,1,1,0,1,149.95,149.95,2016-07-29 14:13:54,2016-07-29 14:13:54
C00122,9,7,2,1,268.2677777777778,787.48,2016-08-09 00:36:51,2016-12-10 17:51:26
C00123,1,1,0,0,53.44,53.44,2016-09-05 19:50:27,2016-09-05 19:50:27
C00124,2,1,1,2,70.905,99.93,2016-07-09 02:13:31,2016-10-28 18:34:45
C00125,1,0,1,1,47.98,47.98,2016-11-01 16:00:51,2016-11-01 16:00:51
C00126,1,1,0,1,199.96,199.96,2016-12-07 15:08:51,2016-12-07 15:08:51
C00127,1,1,0,0,29.67,29.67,2016-08-26 19:24:19,2016-08-26 19:24:19
C00128,1,0,1,1,59.0,59.0,2016-07-05 02:00:27,2016-07-05 02:00:27
C00129,280,14,266,21,92.35042857142857,1366.05,2016-07-02 13:08:11,2016-12-30 17:05:10
C00130,1,1,0,1,49.96,49.96,2016-07-18 16:23:55,2016-07-18 16:23:55
C00131,3,0,3,1,51.60333333333333,58.91,2016-10-20 20:01:06,2016-11-13 17:39:03
C00132,16,6,10,3,487.57437500000003,2072.65,2016-07-20 21:08:27,2016-12-15 17:19:48
C00133,1,0,1,1,116.91,116.91,2016-11-23 22:01:40,2016-11-23 22:01:40
C00134,8,1,7,2,188.11625,280.04,2016-07-20 21:58:35,2016-10-03 08:31:37
C00135,49,0,49,1,117.51673469387754,382.57,2016-07-09 22:49:27,2016-12-21 14:52:28
C00136,14,0,14,1,45.653571428571425,108.43,2016-08-10 03:57:19,2016-12-07 20:08:54
C00137,6,6,0,0,33.97,53.7,2016-07-31 15:38:21,2016-09-10 19:01:02
C00138,2,0,2,1,212.535,371.06,2016-08-23 21:30:24,2016-11-15 23:49:44
C00139,2,2,0,1,14.925,19.92,2016-07-21 18:02:13,2016-12-31 12:47:29
C00140,11,11,0,0,62.33181818181818,106.62,2016-08-28 05:39:58,2016-12-26 21:51:54
C00141,2,2,0,2,99.93,149.93,2016-07-10 20:28:54,2016-08-01 01:02:13
C00142,2,2,0,1,300.065,300.08,2016-07-28 20:21:05,2016-07-28 20:39:31
C00143,17,0,17,1,731.5452941176471,1104.08,2016-07-31 14:24:36,2016-11-30 17:44:26
C00144,4,0,4,1,355.8325,643.22,2016-07-07 11:27:09,2016-11-03 22:35:31
C00145,1,1,0,1,74.94,74.94,2016-07-23 11:27:53,2016-07-23 11:27:53
C00146,1,1,0,0,63.45,63.45,2016-08-17 17:05:40,2016-08-17 17:05:40
C00147,15,2,13,1,129.21666666666667,830.93,2016-07-06 21:12:55,2016-12-22 17:33:44
C00148,1,0,1,1,58.91,58.91,2016-12-28 13:18:07,2016-12-28 13:18:07
C00149,2,2,0,2,149.945,199.97,2016-07-11 13:48:09,2016-09-01 00:12:07
C00150,8,8,0,7,200.66375,500.09,2016-07-11 17:36:53,2016-10-10 15:11:25
C00151,2,1,1,1,138.01999999999998,225.95,2016-08-18 03:22:19,2016-09-08 23:02:34
C00152,3,3,0,3,104.95666666666666,199.94,2016-07-06 19:33:04,2016-11-22 05:38:40
C00153,2,0,2,1,83.525,112.01,2016-07-26 17:11:21,2016-08-30 15:27:54
C00154,1,0,1,1,107.96,107.96,2016-08-07 15:41:48,2016-08-07 15:41:48
C00155,3,1,2,1,201.95666666666668,334.99,2016-07-31 19:49:11,2016-08-06 22:04:11
C00156,26,2,24,3,80.64346153846154,294.96,2016-07-09 15:37:48,2016-12-31 19:51:15
C00157,17,4,13,2,123.52823529411765,186.05,2016-07-30 21:47:46,2016-12-30 17:53:28
C00158,3,3,0,0,59.699999999999996,74.65,2016-08-05 02:35:46,2016-10-11 03:05:55
C00159,25,1,24,1,52.36,156.08,2016-07-04 17:49:18,2016-12-03 19:42:15
C00160,6,0,6,1,102.52166666666666,117.06,2016-08-21 08:02:14,2016-12-06 17:32:43
C00161,5,5,0,2,129.998,150.05,2016-07-11 20:17:57,2016-08-01 14:44:46
C00162,15,1,14,1,73.196,116.94,2016-07-06 16:36:53,2016-12-13 20:11:45
C00163,6,6,0,5,104.13833333333332,150.04,2016-09-08 18:57:41,2016-12-09 16:53:54
C00164,15,0,15,1,111.806,201.08,2016-07-09 21:44:54,2016-12-03 23:21:57
C00165,1,0,1,1,59.05,59.05,2016-12-22 11:21:16,2016-12-22 11:21:16
C00166,1,0,1,1,57.87,57.87,2016-11-24 19:50:46,2016-11-24 19:50:46
C00167,21,21,0,0,41.37952380952381,80.09,2016-07-20 16:58:44,2016-12-07 00:04:31
C00168,146,2,144,29,88.81102739726028,736.95,2016-07-12 22:01:59,2016-12-31 21:23:56
C00169,12,0,12,1,50.574999999999996,77.05,2016-07-24 02:03:44,2016-10-02 23:40:17
C00170,6,1,5,2,190.95333333333335,210.0,2016-10-10 16:09:21,2016-12-29 15:18:18
C00171,3,3,0,3,216.65333333333334,249.96,2016-07-20 17:17:01,2016-10-04 19:57:12
C00172,1,1,0,0,64.69,64.69,2016-08-05 22:21:27,2016-08-05 22:21:27
C00173,3,3,0,1,11.729999999999999,15.25,2016-07-06 17:54:07,2016-08-06 20:28:11
C00174,5,5,0,0,30.830000000000002,35.3,2016-07-21 16:18:22,2016-09-17 06:19:12
C00175,13,0,13,1,101.9276923076923,425.02,2016-07-05 17:15:33,2016-10-24 19:22:41
C00176,1,1,0,0,198.15,198.15,2016-10-19 20:36:02,2016-10-19 20:36:02
C00177,1,0,1,1,437.33,437.33,2016-07-27 23:12:54,2016-07-27 23:12:54
C00178,7,7,0,7,127.83285714285714,400.06,2016-07-18 23:51:08,2016-11-30 14:49:00
C00179,13,3,10,2,86.72692307692309,187.97,2016-07-13 19:55:58,2016-12-23 22:10:29
C00180,5,5,0,4,129.982,249.94,2016-07-07 23:59:22,2016-11-25 18:38:01
C00181,59,5,54,25,136.10762711864407,1104.07,2016-07-04 16:04:52,2016-12-24 17:06:07
C00182,19,17,2,1,144.27631578947367,150.08,2016-07-26 14:10:54,2016-09-15 23:27:08
C00183,1,1,0,0,36.0,36.0,2016-11-16 09:42:48,2016-11-16 09:42:48
C00184,8,2,6,1,331.7275,844.96,2016-07-26 00:14:48,2016-12-03 19:25:14
C00185,1,0,1,1,68.51,68.51,2016-07-04 18:19:24,2016-07-04 18:19:24
C00186,12,0,12,1,138.23833333333334,184.91,2016-07-10 14:12:58,2016-12-20 18:05:24
C00187,1,1,0,1,200.06,200.06,2016-07-21 14:25:20,2016-07-21 14:25:20
C00188,3,3,0,1,133.68333333333334,250.05,2016-07-14 13:19:15,2016-09-09 19:18:04
C00189,15,2,13,10,93.15466666666666,404.19,2016-07-03 02:45:24,2016-12-20 01:48:43
C00190,1,1,0,1,50.05,50.05,2016-08-10 01:44:29,2016-08-10 01:44:29
C00191,1,0,1,1,58.3,58.3,2016-07-22 21:43:38,2016-07-22 21:43:38
C00192,8,8,0,6,83.13625,200.07,2016-07-05 22:47:47,2016-12-18 15:56:34
C00193,1,0,1,1,279.95,279.95,2016-07-23 04:08:08,2016-07-23 04:08:08
C00194,14,0,14,2,54.52428571428572,108.03,2016-07-05 02:45:58,2016-11-18 03:48:55
C00195,30,2,28,3,262.06,773.98,2016-07-02 19:11:06,2016-12-23 12:34:06
C00196,2,2,0,1,15.325,18.37,2016-07-10 05:08:09,2016-07-10 05:09:59
C00197,55,48,7,10,283.0872727272727,845.0,2016-07-03 19:47:04,2016-12-21 13:29:30
C00198,25,6,19,4,182.2216,554.06,2016-07-08 22:02:36,2016-12-26 20:34:53
C00199,4,0,4,1,80.9125,113.01,2016-07-13 02:33:25,2016-11-22 09:52:37
C00200,20,3,17,2,70.12899999999999,159.94,2016-07-20 05:08:50,2016-12-27 15:49:08
C00201,1,1,0,1,300.0,300.0,2016-07-30 21:22:34,2016-07-30 21:22:34
C00202,12,2,10,5,168.60416666666666,911.88,2016-07-06 19:32:49,2016-12-14 01:01:28
C00203,1,0,1,1,289.42,289.42,2016-09-16 16:19:46,2016-09-16 16:19:46
C00204,62,1,61,2,134.80290322580646,334.95,2016-07-04 15:00:01,2016-12-27 19:00:47
C00205,8,0,8,2,83.46625,134.97,2016-08-05 01:51:47,2016-12-16 11:09:39
C00206,1,0,1,1,39.01,39.01,2016-12-10 17:19:40,2016-12-10 17:19:40
C00207,1,1,0,0,11.54,11.54,2016-09-18 00:54:04,2016-09-18 00:54:04
C00208,2,0,2,2,86.0,112.96,2016-08-05 22:39:51,2016-10-08 13:42:10
C00209,3,0,3,2,246.98,499.95,2016-07-21 14:04:06,2016-08-09 17:57:12
C00210,14,8,6,3,116.13142857142857,300.06,2016-07-06 19:51:55,2016-12-12 16:29:34
C00211,1,1,0,1,99.95,99.95,2016-07-22 18:29:08,2016-07-22 18:29:08
C00212,4,0,4,1,207.745,554.07,2016-07-11 19:11:09,2016-11-03 21:25:48
C00213,17,1,16,4,107.35823529411766,304.05,2016-07-02 23:48:03,2016-12-20 12:48:22
C00214,20,4,16,3,299.2095,2237.54,2016-07-08 18:47:01,2016-12-22 02:02:44
C00215,6,6,0,0,73.00333333333333,82.7,2016-12-12 08:42:04,2016-12-12 11:20:20
C00216,1,0,1,1,1658.21,1658.21,2016-07-08 15:08:10,2016-07-08 15:08:10
C00217,3,0,3,1,122.71,226.07,2016-10-27 18:33:49,2016-10-29 22:48:31
C00218,7,0,7,2,45.605714285714285,130.47,2016-07-04 04:17:02,2016-09-26 19:59:19
C00219,4,1,3,1,209.93,317.42,2016-09-13 16:05:11,2016-12-07 19:25:18
C00220,2,2,0,1,49.99,49.99,2016-12-02 15:56:03,2016-12-02 16:20:30
C00221,1,0,1,1,335.06,335.06,2016-12-24 15:32:18,2016-12-24 15:32:18
C00222,6,1,5,2,137.98333333333335,186.06,2016-08-20 13:25:10,2016-12-26 16:09:11
C00223,63,3,60,3,160.98777777777778,1586.25,2016-07-04 12:30:14,2016-12-31 01:41:11
C00224,1,1,0,1,49.98,49.98,2016-07-22 18:53:20,2016-07-22 18:53:20
C00225,1,0,1,1,116.97,116.97,2016-11-06 17:26:43,2016-11-06 17:26:43
C00226,2,0,2,1,640.01,945.01,2016-08-30 16:20:14,2016-09-07 02:06:27
C00227,4,4,0,2,156.24,250.05,2016-07-15 19:40:54,2016-10-18 17:52:01
C00228,3,1,2,2,416.59999999999997,524.9,2016-07-18 17:59:16,2016-09-29 17:39:15
C00229,10,10,0,0,31.112000000000002,102.88,2016-09-15 22:16:07,2016-10-03 01:55:58
C00230,6,6,0,3,287.47166666666664,499.98,2016-07-17 16:14:58,2016-11-11 00:11:36
C00231,8,0,8,1,193.22875000000002,794.95,2016-07-07 18:59:50,2016-12-28 18:07:53
C00232,158,5,153,6,73.24765822784809,663.94,2016-07-03 15:36:34,2016-12-30 15:50:31
C00233,2,2,0,1,39.15,55.1,2016-07-08 20:33:50,2016-09-02 09:40:17
C00234,1,0,1,1,116.96,116.96,2016-12-14 00:03:36,2016-12-14 00:03:36
C00235,1308,59,1249,18,106.44308868501528,2594.9,2016-07-06 01:52:09,2016-12-31 23:16:18
C00236,10,10,0,2,310.007,999.94,2016-07-10 17:06:24,2016-09-13 18:44:44
C00237,4,4,0,1,75.0025,100.08,2016-07-25 16:24:31,2016-08-28 17:37:09
C00238,13,0,13,1,99.57076923076923,254.99,2016-07-05 03:01:29,2016-12-15 03:50:20
C00239,2,0,2,1,253.01,280.09,2016-08-02 13:09:11,2016-08-05 14:50:45
C00240,1,1,0,1,199.95,199.95,2016-10-01 15:56:02,2016-10-01 15:56:02
C00241,14,1,13,1,189.34785714285712,526.99,2016-07-06 15:16:15,2016-11-01 18:52:35
C00242,1,0,1,1,107.97,107.97,2016-10-06 02:27:28,2016-10-06 02:27:28
C00243,3,3,0,2,100.02666666666666,100.06,2016-08-06 18:10:09,2016-12-03 21:46:22
C00244,25,1,24,1,166.8012,1014.96,2016-07-09 23:09:03,2016-12-22 17:08:54
C00245,10,0,10,1,123.66199999999999,210.03,2016-07-07 15:55:03,2016-12-21 17:19:08
C00246,10,1,9,1,1128.736,1531.28,2016-08-03 22:01:20,2016-12-01 19:32:09
C00247,1,1,0,1,124.95,124.95,2016-08-07 20:46:31,2016-08-07 20:46:31
C00248,5,1,4,1,110.998,225.96,2016-07-22 20:22:18,2016-10-22 21:14:09
C00249,34,2,32,1,68.92382352941176,222.08,2016-07-03 01:23:01,2016-12-21 16:58:05
C00250,2,2,0,1,100.00999999999999,100.06,2016-09-22 21:42:51,2016-09-22 21:44:51
C00251,4,4,0,1,100.0125,100.09,2016-12-24 23:32:37,2016-12-24 23:56:12
C00252,1,1,0,1,49.96,49.96,2016-07-12 03:12:52,2016-07-12 03:12:52
C00253,15,15,0,0,24.569333333333336,132.35,2016-08-04 05:20:42,2016-12-22 15:56:12
C00254,28,2,26,12,197.68392857142857,867.23,2016-07-14 15:56:57,2016-12-25 23:01:49
C00255,28,4,24,3,102.18178571428572,554.04,2016-07-16 23:58:25,2016-12-27 00:35:35
C00256,3,0,3,1,420.61999999999995,841.92,2016-09-02 01:10:59,2016-10-31 05:04:07
C00257,4,2,2,1,34.525,59.03,2016-07-17 20:42:45,2016-11-08 15:41:36
C00258,8,0,8,1,82.32625,209.89,2016-07-20 19:08:11,2016-11-29 02:37:08
C00259,60,60,0,1,50.60883333333334,155.43,2016-07-02 01:17:26,2016-12-28 06:38:33
C00260,6,1,5,1,61.24166666666667,117.08,2016-07-10 23:04:05,2016-12-25 16:10:13
C00261,1,1,0,0,24.44,24.44,2016-09-04 00:49:42,2016-09-04 00:49:42
C00262,5,0,5,1,92.542,107.96,2016-08-18 19:40:10,2016-08-20 00:26:41
C00263,9,9,0,8,81.65,124.93,2016-07-08 16:12:57,2016-10-26 17:17:43
C00264,4,4,0,4,118.77,150.07,2016-07-11 21:08:33,2016-12-19 20:37:02
C00265,3,0,3,1,28.583333333333332,33.93,2016-09-13 14:38:33,2016-11-24 16:17:56
C00266,22,6,16,1,83.31863636363636,170.97,2016-07-11 21:25:32,2016-12-31 17:44:14
C00267,18,3,15,3,96.06055555555555,315.01,2016-07-09 19:28:36,2016-12-28 17:46:24
C00268,10,10,0,0,31.659,74.36,2016-10-02 01:35:50,2016-12-28 00:32:38
C00269,4,3,1,2,126.285,205.05,2016-07-17 06:27:58,2016-08-19 00:23:45
C00270,6,1,5,1,105.61,261.86,2016-07-25 18:00:41,2016-11-22 17:12:15
C00271,6,0,6,1,273.7583333333333,445.09,2016-08-16 06:50:58,2016-10-01 01:45:30
C00272,47,0,47,1,138.81872340425534,1011.96,2016-07-02 01:31:44,2016-12-19 21:57:18
C00273,9,8,1,8,142.21333333333334,334.98,2016-07-04 02:10:57,2016-10-28 23:55:55
C00274,5,0,5,1,91.732,116.95,2016-07-27 06:58:25,2016-12-23 06:36:06
C00275,1,0,1,1,34.08,34.08,2016-11-20 21:08:11,2016-11-20 21:08:11
C00276,23,11,12,8,73.88652173913043,195.98,2016-07-05 19:31:34,2016-12-27 20:17:43
C00277,1,1,0,0,140.8,140.8,2016-07-20 20:58:22,2016-07-20 20:58:22
C00278,4,0,4,1,46.03999999999999,86.96,2016-07-31 19:10:38,2016-08-14 20:15:54
C00279,1,0,1,1,1407.98,1407.98,2016-11-08 02:02:36,2016-11-08 02:02:36
C00280,129,7,122,7,127.06139534883722,1839.9,2016-07-08 19:26:44,2016-12-30 15:20:33
C00281,26,0,26,1,103.41884615384615,312.03,2016-07-04 07:39:28,2016-12-14 11:34:00
C00282,2,2,0,2,64.995,100.05,2016-07-18 20:04:57,2016-07-20 02:58:25
C00283,2,0,2,1,96.945,96.96,2016-10-09 12:05:22,2016-10-09 13:06:41
C00284,2,2,0,1,57.535000000000004,100.04,2016-07-23 19:35:56,2016-07-27 02:02:27
C00285,6,0,6,1,266.6133333333333,597.89,2016-07-03 15:26:27,2016-08-24 17:55:40
C00286,18,1,17,2,112.30111111111111,390.07,2016-07-12 13:13:42,2016-12-23 11:14:58
C00287,1,1,0,0,41.47,41.47,2016-09-05 02:41:25,2016-09-05 02:41:25
C00288,25,8,17,14,164.298,433.38,2016-07-10 17:17:03,2016-11-18 17:52:19
C00289,1,0,1,1,109.04,109.04,2016-07-30 21:36:31,2016-07-30 21:36:31
C00290,8,2,6,1,70.75375,171.02,2016-07-15 12:29:31,2016-11-16 18:27:41
