device_profile_id,device_type,device_info,os,browser,screen,txn_count,customer_count,card_count,specificity
DP-00b410a3e874f7ba,mobile,iOS Device,iOS 9.3.5,mobile safari generic,960x640,2,2,2,0.5
DP-00b7455962f4831e,mobile,iOS Device,iOS 9.3.5,mobile safari generic,1024x768,60,38,38,0.02631578947368421
DP-00c13bf20286381d,mobile,SM-T550 Build/NMF26X,Android 7.1.1,chrome 63.0 for android,1024x768,10,4,4,0.25
DP-00cf5c58685dd48b,mobile,F5121 Build/34.3.A.0.238,,chrome 63.0 for android,,26,9,9,0.1111111111111111
DP-00dd7c703ce08e1f,mobile,LG-X165g Build/LRX21M,,chrome 56.0 for android,,2,2,2,0.5
DP-00e8b60395846c8e,desktop,Windows,Windows 7,firefox 57.0,1024x768,5,5,5,0.2
DP-00fcfc75e51b0184,mobile,Nexus,Android 5.1.1,chrome 62.0 for android,,1,1,1,1.0
DP-00fee5379437643e,desktop,MacOS,Mac OS X 10_12_4,safari generic,2880x1800,10,4,4,0.25
DP-012c74c1f4b08c11,desktop,Windows,Windows 7,chrome 58.0,1440x900,2,2,2,0.5
DP-012fbc6832145093,mobile,iOS Device,iOS 11.2.2,mobile safari 11.0,1136x640,30,27,27,0.037037037037037035
DP-0132741ceac64c91,desktop,MacOS,Mac,chrome 64.0,2560x1440,3,3,3,0.3333333333333333
DP-0138ff273eb054df,mobile,E5306 Build/27.3.A.0.165,,chrome 64.0 for android,,3,3,3,0.3333333333333333
DP-013c0b000fda7801,mobile,SM-T280 Build/LMY47V,Android 5.1.1,chrome 66.0 for android,1280x800,3,2,2,0.5
DP-013caa92a4235327,mobile,CRO-L03 Build/HUAWEICRO-L03,,chrome 64.0 for android,,4,4,4,0.25
DP-014903939ffdecdf,desktop,rv:59.0,Mac OS X 10.11,firefox 59.0,1600x900,1,1,1,1.0
DP-0149fb1180266fd0,mobile,SAMSUNG SM-G955U Build/NRD90M,Android 7.0,samsung browser 6.4,2220x1081,8,5,5,0.2
DP-014e9145995afc21,mobile,TR10CS1 Build/JDQ39,,chrome 63.0 for android,,10,7,7,0.14285714285714285
DP-015339a5eb1baf18,mobile,SM-G950U1 Build/NRD90M,Android 7.0,chrome 64.0 for android,2220x1080,1,1,1,1.0
DP-0154f0d555636760,desktop,rv:52.0,Windows 8.1,firefox 52.0,1920x1080,3,3,3,0.3333333333333333
DP-01565f01253e1405,desktop,Windows,Windows 7,,1600x900,1,1,1,1.0
DP-01669e32870f993d,mobile,WAS-L03T Build/HUAWEIWAS-L03T,,chrome generic for android,,1,1,1,1.0
DP-016fe7c1b0bbe7ae,mobile,Ilium,,chrome 65.0 for android,,1,1,1,1.0
DP-017785809623c9ae,mobile,SAMSUNG SM-G928G Build/NRD90M,,samsung browser 6.2,,12,5,5,0.2
DP-018bba8b4ae73a5f,desktop,Linux x86_64,,firefox 60.0,,4,2,2,0.5
DP-0192d579ca294e05,mobile,SAMSUNG-SM-G890A Build/NRD90M,Android 7.0,chrome 62.0 for android,2560x1440,1,1,1,1.0
DP-01a0e77915881ae3,desktop,MacOS,Mac OS X 10_12_5,chrome 61.0,1366x768,1,1,1,1.0
DP-01a102268757fa75,desktop,MacOS,Mac OS X 10_12,safari generic,1920x1200,1,1,1,1.0
DP-01a4f11dcd6c2d27,desktop,rv:57.0,Mac OS X 10.12,firefox 57.0,,1,1,1,1.0
DP-01ab17793790607d,desktop,Windows,Windows 7,chrome 63.0,1848x1155,1,1,1,1.0
DP-01ab6596611cf607,desktop,MacOS,Mac OS X 10_12_4,chrome 62.0,2560x1600,3,3,3,0.3333333333333333
DP-01b02d2a73880149,mobile,SM-T310 Build/KOT49H,,chrome 63.0 for android,,1,1,1,1.0
DP-01b18dbe09756093,mobile,SM-J510MN Build/MMB29M,,chrome 63.0 for android,,44,11,11,0.09090909090909091
DP-01b2695f7352b4a0,desktop,rv:51.0,Windows 8.1,firefox,1920x1080,1,1,1,1.0
DP-01b719fa05297801,desktop,Windows,Windows 10,,1502x844,2,1,1,1.0
DP-01c1a8048556f78f,desktop,Windows,other,chrome generic,1280x800,3,1,1,1.0
DP-01c450910fcf3705,mobile,FRD-L04 Build/HUAWEIFRD-L04,,chrome 65.0 for android,,1,1,1,1.0
DP-01e8692edb7bea61,desktop,rv:57.0,Windows 10,firefox,1920x1080,19,10,10,0.1
DP-01eb87c692995da1,mobile,SAMSUNG SM-T580 Build/NRD90M,Android 7.0,samsung browser 6.4,1920x1200,4,4,4,0.25
DP-01eda1b0a98506fd,mobile,HTC One_M8 Build/MRA58K,,chrome 65.0 for android,,6,3,3,0.3333333333333333
DP-01fc189fed6ed4a3,mobile,LG-X210 Build/LMY47I,,chrome 65.0 for android,,5,4,4,0.25
DP-01fd5bc5af7429e9,mobile,SM-J710MN Build/MMB29K,,chrome 61.0 for android,,2,2,2,0.5
DP-02008d7af1f9876e,mobile,FRD-L04 Build/HUAWEIFRD-L04,,chrome 64.0 for android,,2,1,1,1.0
DP-020172157cef984f,mobile,SAMSUNG-SM-G925A Build/MMB29K,,chrome 64.0 for android,,1,1,1,1.0
DP-02044aee5bd6967d,mobile,ILIUM,,chrome 65.0 for android,,2,1,1,1.0
DP-021aeadecdf057b6,mobile,MotoG3 Build/MPIS24.65-33.1-2-16,,chrome 61.0 for android,,3,3,3,0.3333333333333333
DP-021af45344e051d6,mobile,VS425PP Build/LMY47V,,chrome 64.0 for android,,1,1,1,1.0
DP-021b8778ff93070c,mobile,iOS Device,iOS 11.2.5,mobile safari generic,1136x640,72,48,48,0.020833333333333332
DP-02229b5ff9b02f6b,desktop,MacOS,Mac,safari,1280x800,2,2,2,0.5
DP-022524566366135e,mobile,GRACE,,chrome 65.0 for android,,1,1,1,1.0
DP-023277d500a08d6c,mobile,Mobiistar_LAI_Yuna_X,,android webview 4.0,,1,1,1,1.0
DP-023424ff128d1295,mobile,SAMSUNG SM-J320M Build/LMY47V,,chrome generic,,11,6,6,0.16666666666666666
DP-0239463f6f756ad9,mobile,SAMSUNG SM-J700M Build/MMB29K,,samsung browser 5.4,,1,1,1,1.0
DP-023b3c6304aa4d94,mobile,LG-K530 Build/NRD90U,,chrome 63.0 for android,,5,4,4,0.25
DP-02417420911c0142,desktop,Windows,Windows 7,opera 49.0,1280x800,1,1,1,1.0
DP-024441950bf66dbd,mobile,HTC6535LVW,Android 7.0,chrome 66.0 for android,1920x1080,1,1,1,1.0
DP-0246503810283aa4,desktop,SM-G900M Build/KOT49H,,chrome generic,,6,2,2,0.5
DP-0247768cc33716ae,mobile,SM-A310M Build/LMY47X,,chrome generic,,3,3,3,0.3333333333333333
DP-024d6aadf4373b3c,desktop,MacOS,Mac,chrome 49.0,1440x900,1,1,1,1.0
DP-024f1f7dd3bc40d1,mobile,E6603 Build/32.4.A.1.54,,chrome 64.0 for android,,2,2,2,0.5
DP-025234cbafbcef0a,desktop,MacOS,Mac,chrome 65.0,1920x1080,2,2,2,0.5
DP-0258dcba65918cc6,desktop,rv:57.0,Windows 10,firefox,2736x1824,2,1,1,1.0
DP-0260ea55d62c14b1,mobile,iOS Device,iOS 11.1.0,mobile safari generic,1136x640,5,4,4,0.25
DP-02615e51cad9a66b,mobile,LG-K530 Build/NRD90U,,chrome 58.0 for android,,1,1,1,1.0
DP-02633e263dc44150,desktop,Windows,Windows 8.1,chrome 63.0,3840x1080,1,1,1,1.0
DP-02674aa25fdeb5e2,mobile,ME173X,Android,chrome 63.0 for android,,1,1,1,1.0
DP-02677675f41642cf,desktop,GT-I9060M Build/KTU84P,,chrome generic,,2,1,1,1.0
DP-026c9dafec0fd14e,mobile,SM-G935F Build/NRD90M,,chrome 61.0 for android,,2,2,2,0.5
DP-02719f985ae8f181,mobile,SM-G930F Build/NRD90M,,chrome 63.0 for android,,33,15,15,0.06666666666666667
DP-0276df40347df5f2,mobile,SM-G925P Build/NRD90M,Android 7.0,chrome 63.0 for android,2560x1440,1,1,1,1.0
DP-028b0cfca36627ba,mobile,ALE-L23 Build/HuaweiALE-L23,,chrome 56.0 for android,,2,2,2,0.5
DP-028ca865020fc6cc,desktop,Windows,Windows 10,chrome 65.0,1408x792,1,1,1,1.0
DP-0290c090b772ce03,mobile,Redmi 4A Build/MMB29M,,chrome 63.0 for android,,1,1,1,1.0
DP-029738dfe2307507,mobile,LGMS631 Build/MRA58K,,other,,1,1,1,1.0
DP-029fc999d1946803,desktop,MacOS,Mac OS X 10_10_5,chrome 64.0,1920x1080,1,1,1,1.0
DP-029ffc1ed7858ccb,mobile,iOS Device,iOS 10.3.3,chrome 62.0 for ios,2048x1536,6,6,6,0.16666666666666666
DP-02a4973ffb2b8270,desktop,rv:45.0,Windows 7,firefox,1680x1050,2,2,2,0.5
DP-02a4abed385db67a,mobile,SM-J727T1 Build/NRD90M,Android 7.0,chrome 65.0 for android,1280x720,4,2,2,0.5
DP-02a584e0c9de299b,desktop,Trident/7.0,Windows 10,ie 11.0 for desktop,1920x1080,462,253,253,0.003952569169960474
DP-02a772c6ca72bba8,mobile,EVA-L09 Build/HUAWEIEVA-L09,,chrome 64.0 for android,,11,8,8,0.125
DP-02ab3db4da98e749,desktop,Windows,Windows 10,edge 16.0,1365x768,23,20,20,0.05
DP-02b4d0cfd837691d,desktop,MacOS,Mac OS X 10_12_5,safari generic,1280x720,1,1,1,1.0
DP-02b717f8c054c81a,mobile,KIW-L24,Android 6.0.1,chrome 63.0 for android,1920x1080,1,1,1,1.0
DP-02b8ccc1a83bd8bc,desktop,Windows,Windows 7,,1344x840,1,1,1,1.0
DP-02c1d505e91c1003,mobile,ZTE,,chrome 64.0 for android,,1,1,1,1.0
DP-02c400b3f749db27,mobile,SM-N950U Build/NMF26X,,chrome 63.0 for android,,16,13,13,0.07692307692307693
DP-02d539d1f3c9f72a,mobile,Ilium X520 Build/NRD90M,,chrome 65.0 for android,,4,1,1,1.0
DP-02ddf6779fbf1bff,desktop,Windows,Windows 10,chrome 57.0,1440x900,2,2,2,0.5
DP-02e0d105582a0dc4,desktop,Windows,Windows Vista,chrome 49.0,1920x1080,7,7,7,0.14285714285714285
DP-02e2ed83830af104,mobile,iOS Device,iOS,other,2048x1536,4,4,4,0.25
DP-02e3ff91a0c7803e,desktop,Windows,Windows 10,chrome 63.0,1728x972,5,5,5,0.2
DP-02e41768b9d304f8,mobile,SGH-I337M Build/LRX22C,,chrome 65.0 for android,,1,1,1,1.0
DP-02e904f7168b60d9,mobile,Nexus 6 Build/N6F27M,Android 7.1.1,chrome 63.0 for android,2562x1442,1,1,1,1.0
DP-02eb84fcf5900aad,mobile,LG-K428 Build/NRD90U,Android 7.0,chrome 63.0 for android,,1,1,1,1.0
DP-02f479aec03b816e,desktop,Windows,Windows 8.1,chrome 64.0,1680x1050,1,1,1,1.0
DP-02f5e23b9a8a755a,mobile,iOS Device,iOS 10.0.2,mobile safari generic,1136x640,3,2,2,0.5
DP-02f9c02bd48b96ac,mobile,SM-N920T Build/NRD90M,,chrome 63.0 for android,,2,1,1,1.0
DP-0317342f3a4c71cf,mobile,SM-A520W Build/NRD90M,,chrome generic for android,,1,1,1,1.0
DP-03177ee7d3016bba,desktop,MacOS,Mac OS X 10_11_6,chrome generic,2560x1600,5,3,3,0.3333333333333333
DP-0317ce586d314ec0,mobile,Aquaris,,chrome generic for android,,1,1,1,1.0
DP-031ff490aadcfee8,desktop,Windows,Windows 10,edge 14.0,1440x900,4,4,4,0.25
DP-03233c564865dbb8,mobile,SM-G950U Build/R16NW,,chrome 65.0 for android,,7,5,5,0.2
DP-0327fcc300869a5c,desktop,Windows,Windows 8.1,chrome 63.0,1680x1050,7,6,6,0.16666666666666666
DP-0327ffba92bc69d7,mobile,Ilium LT500 Build/LMY47O,,chrome 59.0 for android,,1,1,1,1.0
DP-0334a81b495e50e8,mobile,LG-X240 Build/MRA58K,,chrome 55.0 for android,,2,2,2,0.5
DP-03353980fe4a5e82,mobile,TA-1027 Build/N2G47H,,chrome 63.0 for android,,3,2,2,0.5
DP-033e36f20a59b9d9,mobile,AX821 Build/MRA58K,,chrome 66.0 for android,,1,1,1,1.0
DP-0340209858703576,desktop,Linux i686,,firefox 59.0,,2,2,2,0.5
DP-0342ff650051a3a5,mobile,X3402,,chrome 55.0 for android,,4,1,1,1.0
DP-034c6fc9b2b616bf,mobile,F3313 Build/37.0.A.2.108,,chrome generic for android,,5,4,4,0.25
DP-034c7e6de8c9f681,desktop,Trident/7.0,Windows 7,ie 11.0 for desktop,2559x1439,1,1,1,1.0
DP-03508abe753bf3a5,desktop,Linux x86_64,Linux,firefox 57.0,1920x1080,19,6,6,0.16666666666666666
DP-0353aca3d40aad7f,mobile,SAMSUNG,,samsung browser 5.2,,1,1,1,1.0
DP-03606f5f2e56d073,mobile,SM-J700T1 Build/NMF26X,Android 7.1.1,chrome 60.0 for android,1280x720,1,1,1,1.0
DP-036167a730ac1817,mobile,iOS Device,iOS 10.3.3,mobile safari generic,2208x1242,39,27,27,0.037037037037037035
DP-036240d88033b36e,mobile,SAMSUNG SM-G950U1 Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,2,2,2,0.5
DP-036262cbfd0b04fd,desktop,Trident/7.0,Windows 8.1,ie 11.0 for desktop,,133,90,90,0.011111111111111112
DP-036330fceacc8db8,mobile,SM-J700F,,chrome generic for android,,2,2,2,0.5
DP-03635479a9f6e618,desktop,Windows,Windows 7,ie 11.0 for desktop,1366x768,20,13,13,0.07692307692307693
DP-037c94afdf1f5d60,desktop,Windows,Windows 7,ie 11.0 for desktop,1600x1200,1,1,1,1.0
DP-037d1dedc01337f5,mobile,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,,7,6,6,0.16666666666666666
DP-037e57232d37be59,mobile,F3113 Build/33.2.A.4.70,,chrome 63.0 for android,,2,2,2,0.5
DP-037edf25e484519b,desktop,MacOS,Mac OS X 10_13_2,chrome 55.0,2880x1800,1,1,1,1.0
DP-037f3f8e99695280,mobile,SAMSUNG-SM-N920A Build/NRD90M,Android 7.0,chrome 65.0 for android,1921x1081,1,1,1,1.0
DP-038172f8200ef0e2,mobile,Moto Z2 Play Build/NPSS26.118-19-4,,chrome 65.0 for android,,4,1,1,1.0
DP-038c5fdbcc00ac85,desktop,Windows,Windows 8.1,firefox 59.0,1280x1024,3,2,2,0.5
DP-03974d31c8324105,mobile,Hisense F8 MINI Build/NRD90M,,chrome 66.0 for android,,3,3,3,0.3333333333333333
DP-039ec97375ae78a3,mobile,SM-G935P Build/NRD90M,Android 7.0,chrome generic for android,1920x1080,1,1,1,1.0
DP-03a9e8678bb8d071,desktop,ATT-IE11,Windows 7,ie 11.0 for desktop,1364x768,1,1,1,1.0
DP-03ac8cec0e5a5e33,desktop,Windows,Windows 8.1,chrome 63.0,1768x992,1,1,1,1.0
DP-03ae8ad54211f3e2,mobile,SAMSUNG SM-N950F Build/NMF26X,,samsung browser 6.4,,13,8,8,0.125
DP-03b09f28fb133329,desktop,Windows,Windows 10,firefox generic,1366x768,4,4,4,0.25
DP-03b2f0095e511338,desktop,Windows,Windows 10,chrome 63.0,2736x1824,53,37,37,0.02702702702702703
DP-03b81b93323e9f47,mobile,SAMSUNG SM-G950F Build/NRD90M,,samsung browser generic,,15,11,11,0.09090909090909091
DP-03bd0536ae00dc00,mobile,ZTE Blade A511 Build/MRA58K,,chrome 52.0 for android,,1,1,1,1.0
DP-03bdb4b5a8cf724b,desktop,Windows,Windows 7,opera 49.0,1920x1080,2,2,2,0.5
DP-03c5ff80a214c08d,desktop,rv:56.0,Windows 8.1,firefox 56.0,1600x900,1,1,1,1.0
DP-03c66c3295fb8d8c,mobile,SM-J110M Build/LMY48B,,chrome 64.0 for android,,1,1,1,1.0
DP-03cf45afcef8cd67,desktop,MacOS,Mac OS X 10_8_5,chrome 49.0,1440x900,16,15,15,0.06666666666666667
DP-03d1536afd7a2536,mobile,LG-D693n Build/LRX22G,,chrome 64.0 for android,,15,4,4,0.25
DP-03d908e7d3a2ddf9,desktop,MacOS,Mac OS X 10_7_5,safari generic,1680x1050,2,2,2,0.5
DP-03e58b5a5832ef8c,mobile,QMV7A,Android 4.4.2,chrome 60.0 for android,,1,1,1,1.0
DP-03e7a2e5be36e743,desktop,Trident/7.0,Windows 10,ie 11.0 for desktop,1919x1079,7,7,7,0.14285714285714285
DP-03eed5feb04e32bd,desktop,MacOS,Mac OS X 10_9_5,chrome 63.0,1920x1200,3,3,3,0.3333333333333333
DP-03f2efe8020fddfa,mobile,MYA-L13 Build/HUAWEIMYA-L13,,chrome 63.0 for android,,6,4,4,0.25
DP-03fb95c66bb4ddcc,mobile,LG-D693n Build/LRX22G,,chrome,,21,7,7,0.14285714285714285
DP-0406fbd49308db6b,mobile,Moto G (4) Build/NPJ25.93-14.7,,chrome generic,,170,35,35,0.02857142857142857
DP-04091e0ca5b1752d,mobile,G3123 Build/40.0.A.6.135,,chrome 62.0 for android,,1,1,1,1.0
DP-040ba7fd196c6671,mobile,SAMSUNG-SM-G935A Build/NRD90M,Android 7.0,chrome 65.0 for android,2560x1440,2,2,2,0.5
DP-040c1798c1f0da54,mobile,SM-G955U Build/NRD90M,Android 7.0,chrome 62.0 for android,2961x1442,1,1,1,1.0
DP-0413e0c099f10e78,mobile,LG-D213,,chrome 61.0 for android,,2,1,1,1.0
DP-0415ad1f697d290c,mobile,SAMSUNG,Android 5.1.1,chrome generic,960x540,1,1,1,1.0
DP-041888e95e6f3b03,mobile,D6603,,chrome 57.0 for android,,1,1,1,1.0
DP-04222993245968d4,desktop,Windows,Windows 10,firefox 59.0,3840x1600,1,1,1,1.0
DP-0427c3d3f9f054ec,mobile,Blade,,chrome 63.0 for android,,1,1,1,1.0
DP-042abe011640b4b0,mobile,HTC U11 Build/NMF26X,,chrome 65.0 for android,,2,1,1,1.0
DP-0431bc58ce393c1f,mobile,LG-K373,,chrome 65.0 for android,,1,1,1,1.0
DP-0438f6b094a47be4,mobile,SM-J110M Build/LMY48B,,chrome 65.0 for android,,1,1,1,1.0
DP-043b62e320a365b7,mobile,SAMSUNG SM-G935A Build/NRD90M,Android 7.0,samsung browser 6.4,1280x720,1,1,1,1.0
DP-0446c3fc4898aaa2,desktop,Windows,Windows 10,chrome 64.0,2736x1824,11,8,8,0.125
DP-0448e79134c29bd3,mobile,Blade V6 Max Build/MRA58K,,chrome 64.0 for android,,3,3,3,0.3333333333333333
DP-045c7f4606d51463,mobile,SM-A510M Build/LMY47X,,chrome 65.0 for android,,1,1,1,1.0
DP-0472a0a617f57b05,desktop,Windows,Windows 8.1,chrome 66.0,1600x900,17,7,7,0.14285714285714285
DP-04798ae10fe4d049,desktop,MacOS,Mac OS X 10_10_5,chrome 63.0,1920x1200,4,3,3,0.3333333333333333
DP-047e7d9412fe8799,desktop,Windows,Windows 10,edge 17.0,1920x1079,3,1,1,1.0
DP-0483f0f40a6cebb6,desktop,Windows,Windows 10,firefox 58.0,3840x2160,2,2,2,0.5
DP-049417b4f947f70d,desktop,Windows,Linux,chrome generic,1920x1080,1,1,1,1.0
DP-0494c28f95f8e8b7,mobile,SM-T330NU Build/LMY47X,,chrome 63.0 for android,,2,2,2,0.5
DP-0498838937085e12,mobile,STV100-4 Build/LMY47V,,chrome 64.0 for android,,6,1,1,1.0
DP-0498ba7cf77653f3,desktop,MacOS,Mac OS X 10_13_2,chrome 62.0,2560x1600,7,6,6,0.16666666666666666
DP-04a08c8a1fd8381f,mobile,Moto C Build/NRD90M.063,,android webview 4.0,,2,2,2,0.5
DP-04a2a092c817ba53,desktop,MacOS,Mac OS X 10_11_6,chrome 65.0,1440x900,14,12,12,0.08333333333333333
DP-04a34aac334ac313,desktop,MacOS,Mac OS X 10_13_3,chrome 66.0,1280x800,5,4,4,0.25
DP-04b700438df1b27a,mobile,SM-J700M Build/MMB29K,,chrome 60.0 for android,,3,3,3,0.3333333333333333
DP-04bb666961057117,mobile,SAMSUNG-SM-G925A Build/NRD90M,Android 7.0,chrome 63.0 for android,2562x1442,1,1,1,1.0
DP-04c59198ebc2fef0,desktop,Windows,Windows 10,edge 16.0,1920x1079,6,4,4,0.25
DP-04cc7b780fa779c1,mobile,SAMSUNG SM-J710MN Build/MMB29K,,samsung browser generic,,2,2,2,0.5
DP-04d05e8072f67fff,desktop,MacOS,Mac OS X 10_11_6,safari generic,1920x1200,53,36,36,0.027777777777777776
DP-04d3657c23d265e0,mobile,RCT6203W46 Build/KOT49H,Android 4.4.2,android browser 4.0,1024x552,4,1,1,1.0
DP-04d5b064ca678bc5,mobile,C6603,,chrome 65.0 for android,,1,1,1,1.0
DP-04ecee72dd2d1f66,mobile,Redmi Note 4 Build/NRD90M,,opera,,3,2,2,0.5
DP-04f4cfc85792f644,mobile,SM-J730GM Build/NRD90M,,chrome 64.0 for android,,36,12,12,0.08333333333333333
DP-04fc1d8f94f2e34b,mobile,XT1650 Build/NCLS26.118-23-13-6-5,Android 7.1.1,chrome generic for android,,1,1,1,1.0
DP-0504bb715db20c04,mobile,,Android,chrome generic,1280x720,42,14,14,0.07142857142857142
DP-05052836d69701f5,mobile,KIW-L24,,chrome 63.0 for android,,1,1,1,1.0
DP-050af3af0f927670,desktop,Windows,Windows 10,edge 16.0,2736x1823,1,1,1,1.0
DP-050d7d0cd3c2c427,desktop,Windows,Windows 10,chrome 66.0,2736x1824,13,9,9,0.1111111111111111
DP-0514f2c4363134de,desktop,MacOS,Mac OS X 10_13_4,chrome 66.0,3696x2310,1,1,1,1.0
DP-05194c50158ed02a,mobile,M4 SS4450 Build/MRA58K,,chrome 62.0 for android,,2,1,1,1.0
DP-052865c270f3e7a6,mobile,iOS Device,iOS 11.2.5,mobile safari generic,2208x1242,342,165,165,0.006060606060606061
DP-05323455e7ca933a,mobile,LG-SP200,Android 7.1.2,chrome generic for android,1280x720,1,1,1,1.0
DP-05331ab61395d768,desktop,MacOS,Mac OS X 10_10_5,chrome 62.0,1800x1125,1,1,1,1.0
DP-053836e4246b3d64,mobile,LG-M327 Build/NRD90U,Android 7.0,chrome 65.0 for android,1280x720,1,1,1,1.0
DP-053e9c2ce957593e,mobile,SM-T807V,Android 6.0.1,chrome 65.0 for android,2560x1600,1,1,1,1.0
DP-053ea83894433d32,mobile,SAMSUNG-SM-N920A Build/NRD90M,Android 7.0,chrome 66.0 for android,1921x1081,1,1,1,1.0
DP-054092089dd2dd41,mobile,Pixel Build/OPM1.171019.012,,chrome 64.0 for android,,1,1,1,1.0
DP-0545097b10f77949,mobile,SM-N950U1 Build/NMF26X,Android 7.1.1,chrome 65.0 for android,2220x1080,1,1,1,1.0
DP-054a3f2001854f2a,desktop,rv:59.0,Mac OS X 10.11,firefox 59.0,2560x1600,2,2,2,0.5
DP-0567e294087a2803,desktop,Windows,Windows 8.1,chrome 66.0,1368x768,5,4,4,0.25
DP-056828c396361c3d,mobile,iOS Device,iOS 10.0.2,mobile safari generic,2001x1125,1,1,1,1.0
DP-056ae71f4fe0cab8,desktop,MacOS,Mac,chrome 63.0,1280x800,11,8,8,0.125
DP-056f0744ecbd06b2,mobile,Pixel,Android 8.1.0,chrome 65.0 for android,2562x1442,1,1,1,1.0
DP-0570d0b8feb64aaa,mobile,BLADE V8 SE Build/NRD90M,,chrome 55.0 for android,,2,2,2,0.5
DP-057b23405e760c97,mobile,F8331 Build/41.2.A.7.76,,chrome 64.0 for android,,5,3,3,0.3333333333333333
DP-0584168831232a60,mobile,BLU ENERGY X PLUS Build/LRX21M,,chrome 64.0 for android,,1,1,1,1.0
DP-05870f363ea82031,desktop,Windows,Windows 10,chrome 62.0,1360x768,7,7,7,0.14285714285714285
DP-0596a2a28920a909,desktop,MacOS,Mac,chrome generic,2880x1800,3,1,1,1.0
DP-059c42f5584e9c22,desktop,Windows,Windows 7,chrome 60.0,1360x768,1,1,1,1.0
DP-059e80e26e3f6dd9,mobile,SM-G900FD,,chrome 63.0 for android,,1,1,1,1.0
DP-05a6df046b27bac0,desktop,MacOS,Mac OS X 10_12,safari generic,1440x900,11,10,10,0.1
DP-05aad7ce3d7952fb,mobile,ONE,,chrome 63.0 for android,,4,3,3,0.3333333333333333
DP-05ac9f03ce701df8,desktop,Windows,Windows 10,chrome 66.0,1512x945,1,1,1,1.0
DP-05b4b1b413f61697,mobile,SM-J327P Build/MMB29M,Android 6.0.1,chrome 62.0 for android,1280x720,2,2,2,0.5
DP-05b52377be583118,mobile,MotoG3-TE Build/MPDS24.65-33-1-3,,chrome 63.0 for android,,8,3,3,0.3333333333333333
DP-05bf820b7c41dc41,mobile,SM-G920V Build/MMB29K,Android 6.0.1,chrome generic for android,2560x1440,1,1,1,1.0
DP-05cbef99cd63599a,mobile,HUAWEI Y360-U23 Build/HUAWEIY360-U23,,chrome 62.0 for android,,3,2,2,0.5
DP-05ccee907afc4b68,desktop,Z813 Build/LMY47O,,chrome generic,,9,4,4,0.25
DP-05cf408cea818144,mobile,SM-J327T Build/NRD90M,Android 7.0,chrome 63.0 for android,1280x720,2,1,1,1.0
DP-05d38ade2e47768d,desktop,Trident/7.0,Windows 10,ie 11.0 for desktop,1920x1200,38,25,25,0.04
DP-05d40afc3941feb1,desktop,Windows,Windows 10,opera 52.0,3200x1800,1,1,1,1.0
DP-05d63d0d84d18952,desktop,Trident/7.0,Windows 7,ie 11.0 for desktop,1280x800,16,10,10,0.1
DP-05d7d03d75d8338d,mobile,Moto G (4) Build/NPJ25.93-14.7,,chrome 63.0 for android,,1,1,1,1.0
