card_id,card1_num,customer_id
C00177-K1,19397,C00177
C00178-K1,11299,C00178
C00179-K1,20110,C00179
C00180-K1,12533,C00180
C00181-K1,23038,C00181
C00182-K1,19821,C00182
C00183-K1,11843,C00183
C00184-K1,14659,C00184
C00185-K1,12271,C00185
C00186-K1,22072,C00186
C00187-K1,12235,C00187
C00188-K1,18863,C00188
C00189-K1,20059,C00189
C00190-K1,15234,C00190
C00191-K1,19114,C00191
C00192-K1,12114,C00192
C00193-K1,12930,C00193
C00194-K1,12298,C00194
C00195-K1,10856,C00195
C00196-K1,17148,C00196
C00197-K1,16667,C00197
C00198-K1,14861,C00198
C00199-K1,10832,C00199
C00200-K1,15139,C00200
C00201-K1,10170,C00201
C00202-K1,15776,C00202
C00203-K1,22776,C00203
C00204-K1,12686,C00204
C00205-K1,23125,C00205
C00206-K1,21072,C00206
C00207-K1,13178,C00207
C00208-K1,13133,C00208
C00209-K1,13517,C00209
C00210-K1,15228,C00210
C00211-K1,15386,C00211
C00212-K1,10133,C00212
C00213-K1,18229,C00213
C00214-K1,15174,C00214
C00215-K1,11936,C00215
C00216-K1,13430,C00216
C00217-K1,19483,C00217
C00218-K1,19740,C00218
C00219-K1,14200,C00219
C00220-K1,22419,C00220
C00221-K1,14273,C00221
C00222-K1,11675,C00222
C00223-K1,23285,C00223
C00224-K1,21006,C00224
C00225-K1,13396,C00225
C00226-K1,20353,C00226
C00227-K1,10452,C00227
C00228-K1,17375,C00228
C00229-K1,18992,C00229
C00230-K1,12843,C00230
C00231-K1,12289,C00231
C00232-K1,21426,C00232
C00233-K1,14581,C00233
C00234-K1,19827,C00234
C00235-K2,22607,C00235
C00236-K1,19190,C00236
C00237-K1,10594,C00237
C00238-K1,16369,C00238
C00239-K1,21060,C00239
C00240-K1,22998,C00240
C00241-K1,19960,C00241
C00242-K1,16315,C00242
C00243-K1,11467,C00243
C00244-K1,15313,C00244
C00245-K1,18552,C00245
C00246-K1,12030,C00246
C00247-K1,18145,C00247
C00248-K1,18105,C00248
C00249-K1,13037,C00249
C00250-K1,14555,C00250
C00251-K1,10299,C00251
C00252-K1,22272,C00252
C00253-K1,20812,C00253
C00254-K1,23277,C00254
C00255-K1,19748,C00255
C00256-K1,19544,C00256
C00257-K1,10362,C00257
C00258-K1,11499,C00258
C00259-K1,15620,C00259
C00260-K1,12818,C00260
C00261-K1,21323,C00261
C00262-K1,16483,C00262
C00263-K1,19989,C00263
C00264-K1,14831,C00264
C00265-K1,15258,C00265
C00266-K1,20693,C00266
C00267-K1,21394,C00267
C00268-K1,22030,C00268
C00269-K1,10525,C00269
C00270-K1,15459,C00270
C00271-K1,18153,C00271
C00272-K1,18799,C00272
C00273-K1,18499,C00273
C00274-K1,13914,C00274
C00275-K1,11194,C00275
C00276-K1,20538,C00276
C00277-K1,13154,C00277
C00278-K1,16970,C00278
C00279-K1,16464,C00279
C00280-K2,11234,C00280
C00281-K1,19017,C00281
C00282-K1,22920,C00282
C00283-K1,15643,C00283
C00284-K1,23317,C00284
C00285-K1,12124,C00285
C00286-K1,19063,C00286
C00287-K1,11028,C00287
C00288-K1,12044,C00288
C00289-K1,16465,C00289
C00290-K1,15179,C00290
C00291-K1,17901,C00291
C00292-K1,20614,C00292
C00293-K1,13069,C00293
C00294-K2,11260,C00294
C00295-K1,16574,C00295
C00296-K1,23472,C00296
C00297-K1,13201,C00297
C00298-K1,22834,C00298
C00299-K1,12888,C00299
C00300-K1,14686,C00300
C00301-K1,19678,C00301
C00302-K1,21842,C00302
C00303-K1,19662,C00303
C00304-K1,18403,C00304
C00305-K1,17732,C00305
C00306-K1,23246,C00306
C00307-K1,16813,C00307
C00308-K1,19727,C00308
C00309-K1,11925,C00309
C00310-K1,12231,C00310
C00311-K1,22264,C00311
C00312-K1,20266,C00312
C00313-K1,15885,C00313
C00314-K1,22767,C00314
C00315-K1,19806,C00315
C00316-K1,12140,C00316
C00317-K1,14491,C00317
C00318-K1,17522,C00318
C00319-K1,22376,C00319
C00320-K1,14688,C00320
C00321-K1,22955,C00321
C00322-K1,12828,C00322
C00323-K1,18432,C00323
C00324-K1,22936,C00324
C00325-K1,17187,C00325
C00326-K1,18960,C00326
C00327-K1,12353,C00327
C00328-K1,12418,C00328
C00329-K2,13169,C00329
C00330-K1,13105,C00330
C00331-K1,22984,C00331
C00332-K1,18869,C00332
C00333-K1,21346,C00333
C00334-K1,17707,C00334
C00335-K1,12116,C00335
C00336-K1,17225,C00336
C00337-K1,22209,C00337
C00338-K1,10555,C00338
C00339-K1,23023,C00339
C00340-K1,17599,C00340
C00341-K1,15400,C00341
C00342-K1,19994,C00342
C00343-K1,12660,C00343
C00344-K1,12122,C00344
C00345-K1,20839,C00345
C00346-K1,19603,C00346
C00347-K1,15882,C00347
C00348-K1,21803,C00348
C00349-K1,16610,C00349
C00350-K1,13676,C00350
C00351-K1,11363,C00351
C00352-K1,13939,C00352
C00353-K1,18898,C00353
C00354-K1,20141,C00354
C00355-K1,14378,C00355
C00356-K1,19456,C00356
C00357-K1,15369,C00357
C00358-K1,10298,C00358
C00359-K1,10189,C00359
C00360-K1,13211,C00360
C00361-K1,19781,C00361
C00362-K1,19067,C00362
C00363-K1,23100,C00363
C00364-K1,23541,C00364
C00365-K1,15659,C00365
C00366-K1,19645,C00366
C00367-K1,18517,C00367
C00368-K1,15830,C00368
C00369-K1,18540,C00369
C00370-K1,15731,C00370
C00371-K1,14081,C00371
C00372-K1,11851,C00372
C00373-K1,15542,C00373
C00374-K1,22349,C00374
C00375-K1,11592,C00375
C00376-K1,17060,C00376
C00377-K1,10720,C00377
C00378-K1,15254,C00378
C00379-K1,19789,C00379
C00380-K1,10831,C00380
C00381-K1,21396,C00381
C00382-K1,20125,C00382
C00383-K1,14037,C00383
C00384-K1,12102,C00384
C00385-K1,13644,C00385
C00386-K1,16321,C00386
C00387-K1,11443,C00387
C00388-K1,11556,C00388
C00389-K1,17876,C00389
C00390-K1,11248,C00390
C00391-K1,23461,C00391
C00392-K1,22097,C00392
C00393-K1,16557,C00393
C00394-K1,19059,C00394
C00395-K1,18970,C00395
C00396-K1,19534,C00396
C00397-K1,10445,C00397
C00398-K1,21793,C00398
C00399-K1,20669,C00399
C00400-K1,15548,C00400
C00401-K1,11827,C00401
C00402-K1,21630,C00402
C00403-K1,23278,C00403
C00404-K1,19793,C00404
C00405-K1,19320,C00405
C00406-K1,14054,C00406
C00407-K1,20509,C00407
C00408-K1,18211,C00408
C00409-K1,14046,C00409
C00410-K1,19809,C00410
C00411-K1,22297,C00411
C00412-K1,15948,C00412
C00413-K1,19629,C00413
C00414-K1,11625,C00414
C00415-K1,11425,C00415
C00416-K1,15996,C00416
C00417-K1,11860,C00417
C00418-K1,16229,C00418
C00419-K1,12082,C00419
C00420-K1,11880,C00420
C00421-K1,22231,C00421
C00422-K1,11465,C00422
C00423-K1,10824,C00423
C00424-K1,10081,C00424
C00425-K1,21079,C00425
C00426-K2,23507,C00426
C00427-K1,13415,C00427
C00428-K1,22262,C00428
C00429-K1,19762,C00429
C00430-K1,15226,C00430
C00431-K1,15057,C00431
C00432-K1,10861,C00432
C00433-K1,23190,C00433
C00434-K1,20841,C00434
C00435-K1,10485,C00435
C00436-K1,11429,C00436
C00437-K1,21467,C00437
C00438-K1,11736,C00438
C00439-K1,15664,C00439
C00440-K1,14972,C00440
C00441-K1,23553,C00441
C00442-K1,15579,C00442
C00443-K1,12135,C00443
C00444-K1,13041,C00444
C00445-K1,15164,C00445
C00446-K1,23243,C00446
C00447-K1,14311,C00447
C00448-K1,21435,C00448
C00449-K1,15538,C00449
C00450-K1,17089,C00450
C00451-K1,20468,C00451
C00452-K2,22224,C00452
C00453-K1,15519,C00453
C00454-K1,14344,C00454
C00455-K1,13344,C00455
C00456-K1,16503,C00456
C00457-K1,23543,C00457
C00458-K1,10682,C00458
C00459-K1,19037,C00459
C00460-K1,17067,C00460
C00461-K1,17013,C00461
C00462-K1,17098,C00462
C00463-K1,17313,C00463
C00464-K1,20521,C00464
C00465-K1,14898,C00465
C00466-K1,19963,C00466
C00467-K1,21635,C00467
C00468-K1,15692,C00468
C00469-K1,12812,C00469
C00470-K1,22677,C00470
C00471-K1,19054,C00471
C00472-K1,10575,C00472
C00473-K1,12504,C00473
C00474-K1,17130,C00474
C00475-K1,19844,C00475
C00476-K1,19765,C00476
C00477-K2,11861,C00477
C00478-K1,20843,C00478
C00479-K1,14507,C00479
C00480-K1,21091,C00480
C00481-K1,14713,C00481
C00482-K1,15087,C00482
C00483-K1,20039,C00483
C00484-K1,11528,C00484
C00485-K1,21038,C00485
C00486-K1,12238,C00486
C00487-K1,21591,C00487
C00488-K1,14621,C00488
C00489-K1,14127,C00489
C00490-K1,23391,C00490
C00491-K1,19272,C00491
C00492-K1,16784,C00492
C00493-K1,18825,C00493
C00494-K1,14083,C00494
C00495-K1,21010,C00495
C00496-K1,12389,C00496
C00497-K1,10078,C00497
C00498-K1,16359,C00498
C00499-K1,20730,C00499
C00500-K1,21810,C00500
C00501-K1,11602,C00501
C00502-K1,22328,C00502
C00503-K1,14052,C00503
C00504-K1,21976,C00504
C00505-K1,19618,C00505
C00506-K1,20670,C00506
C00507-K1,10165,C00507
C00508-K1,13748,C00508
C00509-K1,14504,C00509
C00510-K1,14160,C00510
C00511-K1,14652,C00511
C00512-K1,15475,C00512
C00513-K1,23485,C00513
C00514-K1,17596,C00514
C00515-K1,19226,C00515
C00516-K1,12155,C00516
C00517-K1,22048,C00517
C00518-K1,18701,C00518
C00519-K1,19426,C00519
C00520-K1,18990,C00520
C00521-K1,18519,C00521
C00522-K1,15608,C00522
C00523-K1,16847,C00523
C00524-K1,19098,C00524
C00525-K1,14377,C00525
C00526-K1,13304,C00526
C00527-K1,10167,C00527
C00528-K1,16043,C00528
C00529-K1,22983,C00529
C00530-K1,21917,C00530
C00531-K1,21303,C00531
C00532-K1,19303,C00532
C00533-K1,17167,C00533
C00534-K2,20831,C00534
C00535-K1,22793,C00535
C00536-K1,13999,C00536
C00537-K1,16604,C00537
C00538-K1,23229,C00538
C00539-K1,18341,C00539
C00540-K1,23260,C00540
C00541-K1,14910,C00541
C00542-K1,10907,C00542
C00543-K1,22457,C00543
C00544-K1,21648,C00544
C00545-K1,14991,C00545
C00546-K1,13722,C00546
C00547-K1,12176,C00547
C00548-K1,12042,C00548
C00549-K1,13701,C00549
C00550-K1,14420,C00550
C00551-K1,18824,C00551
C00552-K1,21206,C00552
C00553-K1,19382,C00553
C00554-K1,18832,C00554
C00555-K1,19104,C00555
C00556-K1,13420,C00556
C00557-K1,19249,C00557
C00558-K1,22858,C00558
C00559-K1,10873,C00559
C00560-K1,16879,C00560
C00561-K1,10874,C00561
C00562-K1,20086,C00562
C00563-K1,14305,C00563
C00564-K1,10338,C00564
C00565-K1,11204,C00565
C00566-K1,13901,C00566
C00567-K1,21616,C00567
C00568-K1,20778,C00568
C00569-K1,19477,C00569
C00570-K1,22551,C00570
C00571-K1,10220,C00571
C00572-K1,18708,C00572
C00573-K1,18048,C00573
C00574-K1,18989,C00574
C00575-K1,19016,C00575
C00576-K1,19869,C00576
C00577-K1,16686,C00577
C00578-K1,13454,C00578
C00579-K1,11445,C00579
C00580-K1,22320,C00580
C00581-K1,14055,C00581
C00582-K1,17336,C00582
C00583-K1,18344,C00583
C00584-K1,11548,C00584
C00585-K1,17407,C00585
C00586-K1,17677,C00586
C00587-K1,15147,C00587
C00588-K1,20634,C00588
C00589-K1,10404,C00589
C00590-K1,15864,C00590
C00591-K1,21432,C00591
C00592-K1,21336,C00592
C00593-K1,21333,C00593
C00594-K1,17184,C00594
C00595-K1,17626,C00595
C00596-K1,11014,C00596
C00597-K1,15395,C00597
C00598-K1,19181,C00598
C00599-K1,13287,C00599
C00600-K1,19155,C00600
C00601-K1,10420,C00601
C00602-K1,10935,C00602
C00603-K1,15292,C00603
C00604-K1,19686,C00604
C00605-K1,12606,C00605
C00606-K1,22711,C00606
C00607-K1,11613,C00607
C00608-K1,21188,C00608
C00609-K1,16263,C00609
C00610-K1,13899,C00610
C00611-K1,15060,C00611
C00612-K1,22301,C00612
C00613-K1,11966,C00613
C00614-K2,18618,C00614
C00615-K1,18324,C00615
C00616-K1,22498,C00616
C00617-K1,11773,C00617
C00618-K1,14968,C00618
C00619-K1,17642,C00619
C00620-K1,16627,C00620
C00621-K2,11667,C00621
C00622-K1,14716,C00622
C00623-K1,14346,C00623
C00624-K1,15115,C00624
C00625-K1,14319,C00625
C00626-K1,20434,C00626
C00627-K1,12577,C00627
C00628-K1,22916,C00628
C00629-K1,20360,C00629
C00630-K1,19782,C00630
C00631-K1,10656,C00631
C00632-K1,22946,C00632
C00633-K1,17757,C00633
C00634-K1,10020,C00634
C00635-K1,12909,C00635
C00636-K1,19451,C00636
C00637-K1,14921,C00637
C00638-K1,23490,C00638
C00639-K1,19860,C00639
C00640-K1,15900,C00640
C00641-K1,14137,C00641
C00642-K1,19203,C00642
C00643-K1,11590,C00643
C00644-K1,11173,C00644
C00645-K1,11105,C00645
C00646-K1,23551,C00646
C00647-K1,19247,C00647
C00648-K1,14403,C00648
C00649-K1,22026,C00649
C00650-K1,13578,C00650
C00651-K1,20382,C00651
C00652-K1,11680,C00652
C00653-K1,20467,C00653
C00654-K1,21093,C00654
C00655-K1,14962,C00655
C00656-K1,19148,C00656
C00657-K1,16046,C00657
C00658-K1,18255,C00658
C00659-K1,21585,C00659
C00660-K1,15148,C00660
C00661-K1,13855,C00661
C00662-K1,15970,C00662
C00663-K1,14666,C00663
C00664-K1,11013,C00664
C00665-K1,18322,C00665
C00666-K1,11879,C00666
C00667-K1,22347,C00667
C00668-K1,20956,C00668
C00669-K1,10200,C00669
C00670-K1,21212,C00670
C00671-K1,22588,C00671
C00672-K1,19977,C00672
C00673-K1,17243,C00673
C00674-K1,17667,C00674
C00675-K1,20491,C00675
C00676-K1,12054,C00676
C00677-K1,14600,C00677
C00678-K1,14602,C00678
C00679-K1,10340,C00679
C00680-K1,12159,C00680
C00681-K1,18803,C00681
C00682-K1,10085,C00682
C00683-K1,23403,C00683
C00684-K1,22749,C00684
C00685-K1,22648,C00685
C00686-K1,20621,C00686
C00687-K1,14885,C00687
C00688-K1,19772,C00688
C00689-K1,16515,C00689
C00690-K1,22315,C00690
C00691-K1,11849,C00691
C00692-K1,12550,C00692
C00693-K1,21991,C00693
C00694-K1,15753,C00694
C00695-K1,22886,C00695
C00696-K1,21332,C00696
C00697-K1,22669,C00697
C00698-K1,18281,C00698
C00699-K1,15834,C00699
C00700-K1,15084,C00700
C00701-K1,22434,C00701
C00702-K1,12175,C00702
C00703-K1,12256,C00703
C00704-K1,11256,C00704
C00705-K1,15125,C00705
C00706-K1,16136,C00706
C00707-K1,12752,C00707
C00708-K1,21796,C00708
C00709-K1,22961,C00709
C00710-K1,21787,C00710
C00711-K1,22562,C00711
C00712-K1,21498,C00712
C00713-K1,17982,C00713
C00714-K1,22144,C00714
C00715-K1,11257,C00715
C00716-K1,12180,C00716
C00717-K1,17833,C00717
C00718-K1,20882,C00718
C00719-K1,22803,C00719
C00720-K1,22210,C00720
C00721-K1,14908,C00721
C00722-K1,13984,C00722
C00723-K1,17927,C00723
C00724-K1,12134,C00724
C00725-K1,17123,C00725
C00726-K1,13629,C00726
C00727-K1,11965,C00727
C00728-K2,12948,C00728
C00729-K1,21476,C00729
C00730-K1,10839,C00730
C00731-K1,21057,C00731
C00732-K1,20540,C00732
C00733-K1,19491,C00733
C00734-K1,19754,C00734
C00735-K1,12777,C00735
C00736-K1,15748,C00736
C00737-K1,19469,C00737
C00738-K1,19894,C00738
C00739-K1,13190,C00739
C00740-K1,14556,C00740
C00741-K1,14799,C00741
C00742-K1,11885,C00742
C00743-K1,17906,C00743
C00744-K1,14337,C00744
C00745-K1,17977,C00745
C00746-K1,22546,C00746
C00747-K1,17081,C00747
C00748-K1,20054,C00748
C00749-K1,16094,C00749
C00750-K2,16300,C00750
C00751-K1,11812,C00751
C00752-K1,19105,C00752
C00753-K1,21086,C00753
C00754-K1,12072,C00754
C00755-K1,20428,C00755
C00756-K1,18210,C00756
C00757-K1,22308,C00757
C00758-K1,14252,C00758
C00759-K1,20140,C00759
C00760-K1,13614,C00760
C00761-K1,20849,C00761
C00762-K1,15920,C00762
C00763-K1,18930,C00763
C00764-K1,19310,C00764
C00765-K1,20590,C00765
C00766-K1,23475,C00766
C00767-K1,17789,C00767
C00768-K2,14644,C00768
C00769-K1,19433,C00769
C00770-K1,19082,C00770
C00771-K1,11886,C00771
C00772-K1,21504,C00772
C00773-K2,20065,C00773
C00774-K1,12378,C00774
C00775-K1,18955,C00775
C00776-K1,13911,C00776
C00777-K1,18148,C00777
C00778-K1,23095,C00778
C00779-K1,21415,C00779
C00780-K1,16818,C00780
C00781-K1,21724,C00781
C00782-K1,22005,C00782
C00783-K1,16099,C00783
C00784-K1,17114,C00784
C00785-K1,16534,C00785
C00786-K1,21949,C00786
C00787-K1,21208,C00787
C00788-K1,23146,C00788
C00789-K1,14863,C00789
C00790-K1,19797,C00790
C00791-K1,14974,C00791
C00792-K1,18677,C00792
C00793-K1,14566,C00793
C00794-K1,17557,C00794
C00795-K1,14814,C00795
C00796-K1,17227,C00796
C00797-K1,12405,C00797
C00798-K1,21974,C00798
C00799-K1,22214,C00799
C00800-K1,15011,C00800
C00801-K1,17392,C00801
C00802-K1,16478,C00802
C00803-K1,20331,C00803
C00804-K1,20098,C00804
C00805-K1,10430,C00805
C00806-K1,20109,C00806
C00807-K1,17119,C00807
C00808-K1,11010,C00808
C00809-K1,11081,C00809
C00810-K1,13590,C00810
C00811-K1,17558,C00811
C00812-K1,10392,C00812
C00813-K1,16630,C00813
C00814-K1,19892,C00814
C00815-K1,12145,C00815
C00816-K1,18388,C00816
C00817-K1,20945,C00817
C00818-K1,18887,C00818
C00819-K1,10107,C00819
C00820-K1,10689,C00820
C00821-K1,22471,C00821
C00822-K1,16896,C00822
C00823-K1,15931,C00823
C00824-K1,10681,C00824
C00825-K1,13316,C00825
C00826-K1,22710,C00826
C00827-K1,13569,C00827
C00828-K1,11117,C00828
C00829-K1,18928,C00829
C00830-K1,16992,C00830
C00831-K1,23087,C00831
C00832-K1,16178,C00832
C00833-K1,18946,C00833
C00834-K2,12053,C00834
C00835-K1,12978,C00835
C00836-K1,10582,C00836
C00837-K1,14615,C00837
C00838-K1,11195,C00838
C00839-K1,21864,C00839
C00840-K1,19162,C00840
C00841-K1,17812,C00841
C00842-K2,19072,C00842
C00843-K1,16496,C00843
C00844-K1,16199,C00844
C00845-K1,16664,C00845
C00846-K1,12217,C00846
C00847-K1,21507,C00847
C00848-K1,11531,C00848
C00849-K1,18140,C00849
C00850-K1,19380,C00850
C00851-K1,14849,C00851
C00852-K1,16923,C00852
C00853-K1,19178,C00853
C00854-K2,15058,C00854
C00855-K1,13738,C00855
C00856-K1,19313,C00856
C00857-K1,10159,C00857
C00858-K1,13243,C00858
C00859-K1,12186,C00859
C00860-K1,17871,C00860
C00861-K1,11816,C00861
C00862-K1,12643,C00862
C00863-K1,10290,C00863
C00864-K1,13983,C00864
C00865-K1,19958,C00865
C00866-K1,18493,C00866
C00867-K1,20766,C00867
C00868-K1,15683,C00868
C00869-K1,12926,C00869
C00870-K1,22937,C00870
C00871-K1,11560,C00871
C00872-K1,23014,C00872
C00873-K1,13196,C00873
C00874-K1,16706,C00874
C00875-K1,13960,C00875
C00876-K1,11989,C00876
C00877-K1,15225,C00877
C00878-K1,19593,C00878
C00879-K1,12847,C00879
C00880-K1,14738,C00880
C00881-K1,19884,C00881
C00882-K1,11343,C00882
C00883-K1,18486,C00883
C00884-K1,20093,C00884
C00885-K1,15485,C00885
C00886-K1,10435,C00886
C00887-K1,11829,C00887
C00888-K1,13483,C00888
C00889-K2,21689,C00889
C00890-K1,15130,C00890
C00891-K1,19209,C00891
C00892-K1,15822,C00892
C00893-K1,18659,C00893
C00894-K1,17049,C00894
C00895-K1,20678,C00895
C00896-K1,12981,C00896
C00897-K1,15963,C00897
C00898-K1,16031,C00898
C00899-K1,10168,C00899
C00900-K1,22642,C00900
C00901-K1,10692,C00901
C00902-K1,21832,C00902
C00903-K1,14236,C00903
C00904-K1,23040,C00904
C00905-K1,18338,C00905
C00906-K1,17244,C00906
C00907-K1,22835,C00907
C00908-K1,13138,C00908
C00909-K1,14631,C00909
C00910-K1,15514,C00910
C00911-K1,14067,C00911
C00912-K1,17253,C00912
C00913-K1,20547,C00913
C00914-K1,14933,C00914
C00915-K1,17864,C00915
C00916-K1,19179,C00916
C00917-K1,12337,C00917
C00918-K1,20691,C00918
C00919-K1,12074,C00919
C00920-K1,10182,C00920
C00921-K1,10442,C00921
C00922-K1,21240,C00922
C00923-K1,10638,C00923
C00924-K1,17989,C00924
C00925-K1,14241,C00925
C00926-K1,23247,C00926
C00927-K1,10394,C00927
C00928-K1,10697,C00928
C00929-K1,12137,C00929
C00930-K1,22523,C00930
C00931-K1,15287,C00931
C00932-K1,11647,C00932
C00933-K1,22371,C00933
C00934-K1,18500,C00934
C00935-K1,18562,C00935
C00936-K1,17277,C00936
C00937-K1,10955,C00937
C00938-K1,23419,C00938
C00939-K1,20365,C00939
C00940-K1,22618,C00940
C00941-K1,15236,C00941
C00942-K2,22120,C00942
C00943-K1,18185,C00943
C00944-K1,16063,C00944
C00945-K1,21231,C00945
C00946-K1,17988,C00946
C00947-K1,10144,C00947
C00948-K1,22901,C00948
C00949-K1,13100,C00949
C00950-K1,10917,C00950
C00951-K1,15473,C00951
C00952-K1,15810,C00952
C00953-K1,17061,C00953
C00954-K1,20465,C00954
C00955-K1,17211,C00955
C00956-K1,14053,C00956
C00957-K1,13202,C00957
C00958-K1,12581,C00958
C00959-K1,12141,C00959
C00960-K1,22488,C00960
C00961-K1,13603,C00961
C00962-K1,22987,C00962
C00963-K1,16425,C00963
C00964-K1,20710,C00964
C00965-K1,21951,C00965
C00966-K1,12931,C00966
C00967-K1,17459,C00967
C00968-K1,20388,C00968
C00969-K2,23224,C00969
C00970-K1,20325,C00970
C00971-K1,14363,C00971
C00972-K1,19254,C00972
C00973-K1,18401,C00973
C00974-K1,18782,C00974
C00975-K1,13089,C00975
C00976-K1,22737,C00976
C00977-K1,10747,C00977
C00978-K1,19077,C00978
C00979-K1,17656,C00979
C00980-K1,14832,C00980
C00981-K1,13862,C00981
C00982-K1,17786,C00982
C00983-K1,14634,C00983
C00984-K1,22693,C00984
C00985-K1,10425,C00985
C00986-K1,12287,C00986
C00987-K1,22676,C00987
C00988-K1,22460,C00988
C00989-K1,12853,C00989
C00990-K1,20085,C00990
C00991-K1,13033,C00991
C00992-K1,15967,C00992
C00993-K1,10965,C00993
C00994-K1,11533,C00994
C00995-K1,13669,C00995
C00996-K1,22033,C00996
C00997-K1,21867,C00997
C00998-K1,12035,C00998
