region_code,country_code,is_home_region,customer_count,card_count,txn_count
512.0,87.0,True,677,677,8268
513.0,26.0,False,1,1,2
514.0,87.0,True,1,1,3
515.0,96.0,False,2,2,2
516.0,19.0,False,1,1,1
517.0,87.0,True,2,2,2
518.0,72.0,False,1,1,2
519.0,87.0,True,1,1,1
520.0,60.0,False,9,9,26
521.0,96.0,False,3,3,6
522.0,87.0,True,1,1,1
523.0,60.0,False,2,2,3
526.0,65.0,False,1,1,1
527.0,71.0,False,3,3,4
528.0,88.0,False,2,2,2
529.0,60.0,False,5,5,7
530.0,60.0,False,1,1,1
531.0,102.0,False,1,1,1
535.0,87.0,True,2,2,2
536.0,96.0,False,85,85,310
540.0,60.0,False,6,6,6
